type,type,date,event_type,event_name,asset_id,is_equipment,location,staging_location_id,staging_location,.features[].properties.staging_location_coordinates[],base_location,base_location_id,.features[].properties.base_location_coordinates[],temp_base,fuelling_arrangement,standby_fuelling_arrangement,response,standby_response,incident_id,incident_name,jurisdiction,dispatch_id,dispatch_number,dispatch_time,dispatch_contact,dispatch_email,dispatch_phone,dispatch_alt_phone,dispatch_ctaf,dispatch_primary_role,service_period_id,is_pdd,agency_personnel_name,agency_personnel_phone,agency_personnel_role,notes,type,.features[].geometry.coordinates[]
,Feature,2022-07-26,AVAILABLE,Available,2313,false,Dubbo,null,null,,Dubbo,null,148.6144;-32.2444,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Located Dubbo. Can be available at most other ports within 3hrs	Configuration:	Commuter	,Point,148.6144;-32.2444
,Feature,2022-07-26,AVAILABLE,Available,2554,false,Makarora,null,null,,Makarora,null,169.2313;-44.2319,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,169.2313;-44.2319
,Feature,2022-07-26,UNAVAILABLE,Unavailable,2795,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,LIMITED,Available (Limited),2553,false,Lucas Place	 Frankton	 Queenstown	 New Zealand,null,null,,Lucas Place	 Frankton	 Queenstown	 New Zealand,null,168.7376;-45.0246,false,NA,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	No Sling	Configuration:	Air Attack Platform	,Point,168.7376;-45.0246
,Feature,2022-07-26,AVAILABLE,Available,2794,false,Murchison,null,null,,Murchison,null,172.3255;-41.8001,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,172.3255;-41.8001
,Feature,2022-07-26,LIMITED,Available (Limited),2552,false,Lucas Place	 Frankton	 Queenstown	 New Zealand,null,null,,Lucas Place	 Frankton	 Queenstown	 New Zealand,null,168.7377;-45.0246,false,NA,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,168.7377;-45.0246
,Feature,2022-07-26,AVAILABLE,Available,1463,false,487 Mill Rd,null,null,,487 Mill Rd,null,146.5821;-19.2478,false,ABD,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,146.5821;-19.2478
,Feature,2022-07-26,LIMITED,Available (Limited),8,false,Dubbo City Regional Airport,null,null,,Dubbo City Regional Airport,null,148.5696;-32.2189,false,,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Has RPT commitments with Rex	 can work around those.	Configuration:	18 Seat Passenger Transport	,Point,148.5696;-32.2189
,Feature,2022-07-26,UNAVAILABLE,Unavailable,1109,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unavailable:	Out of Country	,Point,
,Feature,2022-07-26,AVAILABLE,Available,2318,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.1017;-37.9786,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Passenger	,Point,145.1017;-37.9786
,Feature,2022-07-26,AVAILABLE,Available,807,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.1017;-37.9786,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Passenger	,Point,145.1017;-37.9786
,Feature,2022-07-26,AVAILABLE,Available,171,true,96 Ferndale Rd,null,null,,96 Ferndale Rd,null,149.9282;-33.742,false,NA,null,720,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	30	000 liter Tanker	,Point,149.9282;-33.742
,Feature,2022-07-26,UNAVAILABLE,Unavailable,172,true,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-05-23,STANDBY,Standby,1484,false,BANKSTOWN AIRPORT,null,null,,BANKSTOWN AIRPORT,-24,150.9883;-33.925,false,BD,BD,120,120,null,null,NSW,null,,null,Duty Pilot,rfs-helppoint@careflight.org,+611300942431,,,null,5196,false,,,,,Point,150.9883;-33.925
,Feature,2022-07-26,UNAVAILABLE,Unavailable,2573,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2210,false,Bankstown Airport,null,null,,Bankstown Airport,null,150.9917;-33.9164,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,150.9917;-33.9164
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,1117,false,Orange,null,null,,Orange,null,149.1;-33.2833,false,ABD,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Bell 212	  	1500L Belly Tank	  	Long line with 1500L multi shot bucket 	Foam equipped	Cat A transport 10 pax	Configuration:	Bell 212	 130ft long line with 1500l multi shot bucket	 10passenger	,Point,149.1;-33.2833
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,2326,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unserviceable:	8 Pax	 Long Line	 Cargo Net	 Surveillance	 Mapping	 Crew Transport	 Remote Hook	,Point,
,Feature,2022-07-26,AVAILABLE,Available,2568,false,Oamaru Airport,null,null,,Oamaru Airport,null,171.0811;-44.9686,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,171.0811;-44.9686
,Feature,2022-07-26,UNAVAILABLE,Unavailable,2325,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,UNAVAILABLE,Unavailable,2567,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,1478,false,Rotor-Lift Aviation,null,null,,Rotor-Lift Aviation,null,147.5009;-42.8388,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Fire bombing	,Point,147.5009;-42.8388
,Feature,2022-07-26,AVAILABLE,Available,2203,false,State Highway	 Peketa	 New Zealand,null,null,,State Highway	 Peketa	 New Zealand,null,173.6016;-42.4253,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	600ltr bucket	,Point,173.6016;-42.4253
,Feature,2022-07-26,UNAVAILABLE,Unavailable,1477,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,1114,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2202,false,Kaikoura Airport,null,null,,Kaikoura Airport,null,173.604;-42.4248,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,173.604;-42.4248
,Feature,2022-07-26,LIMITED,Available (Limited),2564,false,Aoraki / Mount Cook Airport,null,null,,Aoraki / Mount Cook Airport,null,170.1341;-43.7666,false,NA,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	8 passenger / 9 passenger / cargo / mixed cargo	,Point,170.1341;-43.7666
,Feature,2022-07-26,AVAILABLE,Available,2322,false,Bankstown,null,null,,Bankstown,null,151.0264;-33.9178,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Located Bankstown. Can be available at most other ports within 3hrs	Configuration:	Commuter & Freight	,Point,151.0264;-33.9178
,Feature,2022-07-26,AVAILABLE,Available,2200,false,255 Baddeleys Beach Road,null,null,,255 Baddeleys Beach Road,null,174.7629;-36.3726,false,NA,null,25,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Fire Tank Fitted		25 seconds to dip fill the tank	Configuration:	1200L Fire Tank	,Point,174.7629;-36.3726
,Feature,2022-07-26,AVAILABLE,Available,2563,false,17 Findlay Road,null,null,,17 Findlay Road,null,167.7822;-46.0454,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,167.7822;-46.0454
,Feature,2022-07-26,UNAVAILABLE,Unavailable,810,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,812,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.1017;-37.9786,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Passenger	,Point,145.1017;-37.9786
,Feature,2022-07-26,AVAILABLE,Available,814,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.1017;-37.9786,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Passenger	,Point,145.1017;-37.9786
,Feature,2022-07-26,AVAILABLE,Available,816,false,Meandarra,null,null,,Meandarra,null,149.8869;-27.3045,false,,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,149.8869;-27.3045
,Feature,2022-07-26,AVAILABLE,Available,817,false,St George Airport,null,null,,St George Airport,null,148.5939;-28.0489,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,148.5939;-28.0489
,Feature,2022-07-26,AVAILABLE,Available,818,false,Benambra Airport,null,null,,Benambra Airport,null,147.7016;-36.9701,false,BD,null,720,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,147.7016;-36.9701
,Feature,2022-07-26,AVAILABLE,Available,280,true,Penrith Lakes Regional Park,null,null,,Penrith Lakes Regional Park,null,150.6851;-33.7286,false,NA,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	fuel truck available with our aircraft	Configuration:	fuel truck available with our aircraft	,Point,150.6851;-33.7286
,Feature,2022-07-26,AVAILABLE,Available,2221,false,194 Te Parae Road,null,null,,194 Te Parae Road,null,175.817;-41.0101,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,175.817;-41.0101
,Feature,2022-07-26,AVAILABLE,Available,2100,false,Herbert,null,null,,Herbert,null,170.7865;-45.222,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,170.7865;-45.222
,Feature,2022-07-26,AVAILABLE,Available,283,true,34 Postle St,null,null,,34 Postle St,null,153.027;-27.5706,false,NA,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	32kl tanker	,Point,153.027;-27.5706
,Feature,2022-07-26,UNAVAILABLE,Unavailable,1374,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2220,false,Airport,null,null,,Airport,null,177.4067;-39.0163,false,ABD,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	Fire bombing ready	,Point,177.4067;-39.0163
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,1494,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2582,false,Ardmore Airport,null,null,,Ardmore Airport,null,174.9724;-37.0314,false,ABD,null,50,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,174.9724;-37.0314
,Feature,2022-07-26,AVAILABLE,Available,1493,false,Brisbane Airport,null,null,,Brisbane Airport,null,153.1153;-27.3941,false,NA,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Saab 340B Plus	 pressurised	 twin turbo-prop. The maximum passengers and payload for any tasking will be advised upon Corporate Air receiving your specific requirements.	Configuration:	30-34 Passengers	,Point,153.1153;-27.3941
,Feature,2022-07-26,AVAILABLE,Available,2581,false,343A Kereru Road,null,null,,343A Kereru Road,null,176.5875;-39.6398,false,NA,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	A/H 20m	Configuration:	Bucket Onboard	,Point,176.5875;-39.6398
,Feature,2022-07-26,AVAILABLE,Available,2580,false,4512 Mountain Road,null,null,,4512 Mountain Road,null,174.3028;-39.4091,false,ABD,null,25,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	After hours 60m call out	,Point,174.3028;-39.4091
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,1490,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-05-01,STANDBY,Standby,1129,false,Jabiru Airport,null,null,,Jabiru Airport,818,132.8928;-12.6592,false,D,D,15,15,null,null,NT,null,,null,Duty Pilot,info@unitedaero.com.au,+61447350002,,,null,5230,false,,,,,Point,132.8928;-12.6592
,Feature,2022-07-26,AVAILABLE,Available,2337,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.0947;-37.9761,false,ABD,null,150,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	8-9 pax	,Point,145.0947;-37.9761
,Feature,2022-07-26,AVAILABLE,Available,2336,false,Moorabbin Airport,null,null,,Moorabbin Airport,null,145.0947;-37.9761,false,ABD,null,90,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	8-9 pax	,Point,145.0947;-37.9761
,Feature,2022-07-26,AVAILABLE,Available,1488,false,Toowoomba,null,null,,Toowoomba,null,151.9507;-27.5598,false,ABD,null,120,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,151.9507;-27.5598
,Feature,2022-07-26,AVAILABLE,Available,2213,false,Wanaka Airport,null,null,,Wanaka Airport,null,169.2462;-44.7227,false,NA,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,169.2462;-44.7227
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,2576,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unserviceable:	pilot on holiday	,Point,
,Feature,2022-07-26,AVAILABLE,Available,2212,false,Maddisons Road	 Rolleston	 New Zealand,null,null,,Maddisons Road	 Rolleston	 New Zealand,null,172.3897;-43.5704,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,172.3897;-43.5704
,Feature,2022-05-23,STANDBY,Standby,1485,false,BANKSTOWN AIRPORT,null,null,,BANKSTOWN AIRPORT,-24,150.9883;-33.925,false,BD,BD,120,120,null,null,NSW,null,,null,Duty Pilot,rfs-helppoint@careflight.org,+611300942431,,,null,5197,false,,,,,Point,150.9883;-33.925
,Feature,2022-07-26,AVAILABLE,Available,2574,false,508 Scarborough Road,null,null,,508 Scarborough Road,null,175.8026;-40.4624,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,175.8026;-40.4624
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,705,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,Unserviceable:	Super Huey II Heavy Lift 1.2 tonne Capability Long Lines & Cargo Net.	,Point,
,Feature,2022-07-26,AVAILABLE,Available,2219,false,Airport,null,null,,Airport,null,177.4067;-39.0163,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	fire bombing ready	,Point,177.4067;-39.0163
,Feature,2022-07-26,AVAILABLE,Available,2232,false,State Highway	 Murupara	 New Zealand,null,null,,State Highway	 Murupara	 New Zealand,null,176.6935;-38.4523,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	1500 ltr Bambi Bucket	,Point,176.6935;-38.4523
,Feature,2022-07-26,AVAILABLE,Available,2350,false,Camden Airport,null,null,,Camden Airport,null,150.6868;-34.0405,false,ABD,null,60,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,150.6868;-34.0405
,Feature,2022-07-26,AVAILABLE,Available,2592,false,D Te Anau Milford Highway	 Te Anau	 New Zealand,null,null,,D Te Anau Milford Highway	 Te Anau	 New Zealand,null,167.7641;-45.381,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,167.7641;-45.381
,Feature,2022-07-26,AVAILABLE,Available,2591,false,Dargaville,null,null,,Dargaville,null,173.8686;-35.9413,false,ABD,null,40,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,173.8686;-35.9413
,Feature,2022-07-26,AVAILABLE,Available,4,true,Mudgee,null,null,,Mudgee,null,149.5733;-32.6145,false,ABD,null,720,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,149.5733;-32.6145
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,2108,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,UNAVAILABLE,Unavailable,6,true,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2106,false,Christchurch Airport,null,null,,Christchurch Airport,null,172.5446;-43.4896,false,NA,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	phone dan 027 444 2483	Configuration:	1000ltr bucket	,Point,172.5446;-43.4896
,Feature,2022-07-26,AVAILABLE,Available,2227,false,Taihape,null,null,,Taihape,null,175.7983;-39.6763,false,NA,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,175.7983;-39.6763
,Feature,2022-07-26,AVAILABLE,Available,2105,false,Water Walk Road,null,null,,Water Walk Road,null,171.1926;-42.4626,false,NA,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	1100 bucket - Call Greymouth base 03 7626117 (24hr) Base pilot Stu 021914494	Configuration:	1100 bucket	,Point,171.1926;-42.4626
,Feature,2022-07-26,UNAVAILABLE,Unavailable,1499,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2104,false,Wellington Helicopters Limited,null,null,,Wellington Helicopters Limited,null,174.779;-41.285,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Office 044721550	Dai Daniel 021917499	Configuration:	1000l bucket	,Point,174.779;-41.285
,Feature,2022-07-26,AVAILABLE,Available,2103,false,TSB Auditorium - Shed 6,null,null,,TSB Auditorium - Shed 6,null,174.7791;-41.285,false,ABD,null,20,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Office 04 472 1550	Dai 021 917 499	Configuration:	880l bucket	,Point,174.7791;-41.285
,Feature,2022-07-26,AVAILABLE,Available,2224,false,Rotorua Regional Airport,null,null,,Rotorua Regional Airport,null,176.3158;-38.1085,false,ABD,null,30,null,null,null,null,null,,null,,,,,,null,null,false,,,,Configuration:	1000 litre bucket	,Point,176.3158;-38.1085
,Feature,2022-07-26,AVAILABLE,Available,2102,false,Gisborne-Awapuni International Airport,null,null,,Gisborne-Awapuni International Airport,null,177.9821;-38.6619,false,NA,null,25,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,177.9821;-38.6619
,Feature,2022-07-26,LIMITED,Available (Limited),1376,false,Avalon Airport,null,null,,Avalon Airport,null,144.4685;-38.0392,false,ABD,null,20160,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	MOBILIZATION OF CREWS REQUIRED	340 HRS INCLUDES MX	Configuration:	BELLY TANK EQUIPPED RAPPEL CAPABLE	,Point,144.4685;-38.0392
,Feature,2022-07-26,UNSERVICEABLE,Unserviceable,2101,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,2343,false,Ardmore Airport,null,null,,Ardmore Airport,null,174.9724;-37.0314,false,ABD,null,40,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,174.9724;-37.0314
,Feature,2022-07-26,UNAVAILABLE,Unavailable,1375,false,,null,null,,,null,,false,,null,null,null,null,null,null,null,,null,,,,,,null,null,false,,,,,Point,
,Feature,2022-07-26,AVAILABLE,Available,713,false,Winmalee,null,null,,Winmalee,null,150.6189;-33.6725,false,,null,15,null,null,null,null,null,,null,,,,,,null,null,false,,,,Availability:	Located in Blue Mountains	 western Sydney. Rapid deployment to most locations.	Configuration:	RPAS Inspire 1 Quadcopter with X5R Camera	,Point,150.6189;-33.6725
,Feature,2022-06-27,STANDBY,Standby,957,false,Batchelor Aerodrome,null,null,,Batchelor Aerodrome,395,131.0283;-13.0558,false,ABD,ABD,15,15,null,null,NT,null,,null,Duty Pilot,kylie@xoaviation.com.au,+61419854448,,,null,5226,false,,,,,Point,131.0283;-13.0558
