id,entityID,url,airframe,make,model,category,categoryReadable,imei,icaoCode,profilePhotoBig,profilePhotoSmall,callsign,registration,waterCapacity,hasFoamSuppresant,foamCapacity,hasGelSuppresant,gelCapacity,engineType,numEngines,engineMake,engineModel,fuelType,landingGear,mtow,countryOfRegistration,registrationStatus,serialNumber,coaCategory,canFirebomb,firebombingType,firebombingMakeAndModel,splitLoadMultiDrop,hasFirebombingBackup,firebombingBackupType,firebombingBackupCapacity,firebombingBackupMakeAndModel,hasIntelGathering,fuelConsumptionRate,canWinch,operatingSpeed,seats,id,url,entityID,name,registeredName,telephone,operationalContact,email,name,.aircraft[].serviceRoles[].approvedBy[],.aircraft[].approvedByAgencies[],.aircraft[].jurisdictions[],warnings,change,.aircraft[].capabilities[],id,name,jurisdiction,id,name,jurisdiction,name,.aircraft[].serviceRoles[]
15,79,https://arena.nafc.org.au/resource/api/ext/aircraft/15,HELICOPTER,EUROCOPTER,EC120B,RotType3,RW - Type 3 Light,300434064509560,7C1497,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0096/8262/med-ECP-Ext.jpeg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0096/8262/small-ECP-Ext.jpeg,FIREBIRD 309,VH-ECP,,,,,,Turboshaft,1,TURBOMECA ENGINES,ARRIUS 2F,Kerosene - JetA1,Skid,1715,Australia,Full Registration,1071,Transport,false,,,,,,,,null,125,false,110,4,3,https://arena.nafc.org.au/resource/api/ext/operators/3,18,Microflite Helicopter Services,Microflite Pty Ltd,+61385879799,+61385879799,operations@microflite.com.au,Transport - General Cargo,,,,false,2021-11-24T17:28:43+1100,,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
18,106,https://arena.nafc.org.au/resource/api/ext/aircraft/18,HELICOPTER,GARLICK HELICOPTERS INC,UH-1B,RotType2,RW - Type 2 Medium,300034012393550,7C1044,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0066/0949/med-DHY external.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0066/0949/small-DHY external.jpg,HELITAK 776,VH-DHY,1400,true,60,false,,Turboshaft,1,TEXTRON LYCOMING,T-53-L-13B,Kerosene - JetA1,Skid,3855,Australia,Full Registration,63-8699,Restricted,true,Bucket,IMS Cloudburst,true,true,Bucket,1400,IMS Cloudburst,null,330,false,90,0,12,https://arena.nafc.org.au/resource/api/ext/operators/12,85,BlanchAir Pty Ltd,BlanchAir Pty Ltd ATF The Blanch Family Trust,+61747762767,+61419727192,admin@blanchair.com.au,Transport - Passenger - Low Capacity,,,,true,2021-12-29T17:06:36+1100,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Backup Firebombing System;Has Firebombing System,17,VIC - DELWP,VIC,2,QLD - QFES,QLD,QLD,
20,114,https://arena.nafc.org.au/resource/api/ext/aircraft/20,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,F17000055,7C1A4D,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0063/9337/med-LH Side.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0063/9337/small-LH Side.JPG,HELITAK 225,VH-FHB,910,true,40,false,0,Turboshaft,2,HONEYWELL INTERNATIONAL INC.,LTS101-850B-2,Kerosene - JetA1,Skid,3350,Australia,Full Registration,1056,Transport,true,Bucket,Bambi Max BBX2024,true,true,,910,Bambi Bucket - single drop BB2024,null,300,true,100,9,14,https://arena.nafc.org.au/resource/api/ext/operators/14,98,Helitreck,Trecked Pty Ltd,+61297919399,+61297919399,info@helitreck.com.au,Transport - Fire & Emergency Crew,,,,false,2018-10-27T10:16:51+1100,Can Fill from Salt Water;Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Backup Firebombing System;Has Firebombing System;Has Winch Capability,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
21,126,https://arena.nafc.org.au/resource/api/ext/aircraft/21,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,300434062066470,7C48C7,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/7162/med-IMG_0314.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/7162/small-IMG_0314.JPG,FIREBIRD 207,VH-ONT,400,true,20,false,,Turboshaft,1,ROLLS ROYCE LTD,250-C20B,Kerosene - JetA1,Skid,1451,Australia,Full Registration,4004,Normal,true,Bucket,Waterhog 400,true,true,Bucket,400,Bucket - Waterhog 400,null,100,false,100,3,4,https://arena.nafc.org.au/resource/api/ext/operators/4,20,Fleet Helicopters,Aerial Agriculture Pty Ltd,+61267722348,+61267722348,claire@fleethelicopters.com.au,Transport - General Cargo,,,,false,2020-09-24T10:44:16+1000,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Aerial Incendiary System;Has Specialist Intel Gathering System;Has Backup Firebombing System;Has Firebombing System,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
22,129,https://arena.nafc.org.au/resource/api/ext/aircraft/22,HELICOPTER,GARLICK HELICOPTERS INC,UH-1H,RotType2,RW - Type 2 Medium,300434063644000,7C0C4A,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0067/5131/med-CPO true local.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0067/5131/small-CPO true local.JPG,HELITAK 263,VH-CPO,1400,true,60,false,0,Turboshaft,1,TEXTRON LYCOMING,T-53-L-13B,Kerosene - JetA1,Skid,4309,Australia,Full Registration,63-08805,Restricted,true,Bucket,AFC Waterhog,true,true,,,,null,300,false,100,0,16,https://arena.nafc.org.au/resource/api/ext/operators/16,127,Precision Helicopters,Air Precision Pty Ltd,+61266529988,+61476766248,fireops@precisionhelicopters.com.au,Transport - Passenger - Low Capacity,,,,true,2021-09-03T19:39:10+1000,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Backup Firebombing System;Has Firebombing System,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,NSW,
24,154,https://arena.nafc.org.au/resource/api/ext/aircraft/24,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,300434063548810,7C1616,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0059/7712/med-SKY_5169.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0059/7712/small-SKY_5169.jpg,FIREBIRD 271,VH-ENC,880,true,20,false,,Turboshaft,1,Honeywell,LTS101 700D2,Kerosene - JetA1,Skid,2250,Australia,Full Registration,1492,Normal,true,Bucket,Bambi Max BBX1821,true,true,Bucket,680,Bambi Bucket BB1580,null,165,false,120,5,10,https://arena.nafc.org.au/resource/api/ext/operators/10,61,Sydney Helicopters,Sydney Helicopters Pty Ltd,+61296374455,+61438216657,fireops@sydneyhelicopters.com.au,Transport - Fire & Emergency Crew,,,,true,2020-11-28T12:34:50+1100,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Aerial Incendiary System;Has Specialist Intel Gathering System;Has Backup Firebombing System;Has Firebombing System,17,VIC - DELWP,VIC,2,QLD - QFES,QLD,QLD,
25,167,https://arena.nafc.org.au/resource/api/ext/aircraft/25,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,300434062799090,7C30AD,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/7161/med-CIMG1744.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/7161/small-CIMG1744.JPG,FIREBIRD 239,VH-JWF,400,true,20,false,,Turboshaft,1,ALLISON GAS TURBINES,250-C20B,Kerosene - JetA1,Skid,1452,Australia,Full Registration,3421,Normal,true,Bucket,Waterhog 520,true,true,Bucket,400,Bambi 400,null,100,false,100,3,4,https://arena.nafc.org.au/resource/api/ext/operators/4,20,Fleet Helicopters,Aerial Agriculture Pty Ltd,+61267722348,+61267722348,claire@fleethelicopters.com.au,Transport - General Cargo,,,,false,2018-10-27T10:16:51+1100,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Aerial Incendiary System;Has Specialist Intel Gathering System;Has Backup Firebombing System;Has Firebombing System,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
26,193,https://arena.nafc.org.au/resource/api/ext/aircraft/26,HELICOPTER,BELL HELICOPTER CO,212,RotType2,RW - Type 2 Medium,E09171923,7C2EEC,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0060/5656/med-IMG_0002 (2).JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0060/5656/small-IMG_0002 (2).JPG,HELITAK 340,VH-JJY,1340,true,80,false,,Turboshaft,2,PRATT & WHITNEY CANADA,PT6T-3,Kerosene - JetA1,Skid,5261,Australia,Full Registration,30900,Transport,true,Belly Tank,Simplex 304,true,true,,1200,Absolute Fire Solutions Fast Bucket,null,369,false,100,14,9,https://arena.nafc.org.au/resource/api/ext/operators/9,56,Jayrow Helicopters Pty. Ltd.,Jayrow Helicopters Pty. Ltd.,+61385511502,+61418742277,melbourne.administration@jayrow.com.au,Transport - Passenger - Low Capacity,,,,true,2021-02-06T16:32:48+1100,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Rappel System;Has Backup Firebombing System;Has Firebombing System,17,VIC - DELWP,VIC,2,QLD - QFES,QLD,QLD,
28,204,https://arena.nafc.org.au/resource/api/ext/aircraft/28,HELICOPTER,BELL HELICOPTER CO,206L-3,RotType3,RW - Type 3 Light,300434062795830,7C48C5,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9771/med-ONR.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0065/9771/small-ONR.jpg,FIREBIRD 233,VH-ONR,520,true,20,false,,Turboshaft,1,ALLISON GAS TURBINES,250-C30P,Kerosene - JetA1,Skid,1882,Australia,Full Registration,51419,Normal,true,Bucket,Waterhog 520,true,true,Bucket,520,Waterhog 520,null,150,false,110,4,4,https://arena.nafc.org.au/resource/api/ext/operators/4,20,Fleet Helicopters,Aerial Agriculture Pty Ltd,+61267722348,+61267722348,claire@fleethelicopters.com.au,Incident Detection,,,,false,2019-06-06T09:33:40+1000,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Aerial Incendiary System;Has Specialist Intel Gathering System;Has Backup Firebombing System;Has Firebombing System,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
30,213,https://arena.nafc.org.au/resource/api/ext/aircraft/30,FIXED_WING,CESSNA AIRCRAFT COMPANY,182N,FixAas,FW - AAS / Recce,300434062796880,7C156F,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0089/4281/med-EIP.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0089/4281/small-EIP.jpg,FIRESPOTTER 211,VH-EIP,,,,,,Piston,1,TELEDYNE-CONTINENTAL MOTORS,O-470,Gasoline - AvGas,Tricycle - Fixed,1338,Australia,Full Registration,18260069,Normal,false,null,,,,null,,,null,55,null,125,2,4,https://arena.nafc.org.au/resource/api/ext/operators/4,20,Fleet Helicopters,Aerial Agriculture Pty Ltd,+61267722348,+61267722348,claire@fleethelicopters.com.au,Low Level Survey,,,,false,2018-11-29T17:21:51+1100,,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,NSW,
31,237,https://arena.nafc.org.au/resource/api/ext/aircraft/31,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,L18000002,7C1A51,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0063/9338/med-Left side.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0063/9338/small-Left side.JPG,HELITAK 226,VH-FHF,910,true,40,false,0,Turboshaft,2,HONEYWELL INTERNATIONAL INC.,LTS101-850B-2,Kerosene - JetA1,Skid,3350,Australia,Full Registration,1093,Transport,true,Bucket,Bambi Max,true,true,,910,Bambi bucket-single drop,null,300,true,100,9,14,https://arena.nafc.org.au/resource/api/ext/operators/14,98,Helitreck,Trecked Pty Ltd,+61297919399,+61297919399,info@helitreck.com.au,Airwork - Other,,,,false,2019-04-16T16:35:06+1000,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Backup Firebombing System;Has Firebombing System;Has Winch Capability,2,QLD - QFES,QLD,17,VIC - DELWP,VIC,VIC,
33,246,https://arena.nafc.org.au/resource/api/ext/aircraft/33,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,F17000053,7C1A4F,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0063/9344/med-Left side.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0063/9344/small-Left side.JPG,HELITAK 227,VH-FHD,910,true,40,false,0,Turboshaft,2,TEXTRON LYCOMING,LTS-101-750B1,Kerosene - JetA1,Skid,3350,Australia,Full Registration,1103,Transport,true,Bucket,Bambi Max,true,true,,910,Bambi bucket-single drop,null,300,true,100,9,14,https://arena.nafc.org.au/resource/api/ext/operators/14,98,Helitreck,Trecked Pty Ltd,+61297919399,+61297919399,info@helitreck.com.au,Firebombing,,,,false,2021-09-22T13:33:32+1000,Can Fill from Salt Water;Foam Dispensing System;Split Load / Multi-Drop Capability;Has Sling Load Capability;Has Backup Firebombing System;Has Firebombing System;Has Winch Capability,17,VIC - DELWP,VIC,1,NSW - RFS,NSW,VIC,
34,248,https://arena.nafc.org.au/resource/api/ext/aircraft/34,FIXED_WING,AIR TRACTOR INC,AT-802,FixType4,FW - Type 4 SEAT,300434063013510,7C7485,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0158/0850/med-IMG_6623.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0158/0850/small-IMG_6623.JPG,BOMBER 266,VH-XAV,3150,true,68,true,68,Turboprop,1,PRATT & WHITNEY CANADA,PT6A-67F,Kerosene - JetA1,Amphibious,7257,Australia,Full Registration,802-0377,Restricted,true,null,Trotter Controls FRDS Gen II,true,false,null,3150,Trotter Controls FRDS Gen II,null,300,null,161,2,5,https://arena.nafc.org.au/resource/api/ext/operators/5,36,Kennedy Air Ag Pty Ltd,Kennedy Air Ag Pty Ltd,+61427435325,+61428435325,ops@kennedyair.com.au,Air Attack Supervision,,,,true,2022-02-18T16:58:48+1100,Can Self Fill (Scooper);Gel Dispensing System;Foam Dispensing System;Split Load / Multi-Drop Capability;Has Firebombing System,17,VIC - DELWP,VIC,17,VIC - DELWP,VIC,NSW,
35,249,https://arena.nafc.org.au/resource/api/ext/aircraft/35,FIXED_WING,AIR TRACTOR INC,AT-802,FixType4,FW - Type 4 SEAT,300234064226160,7C7486,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0060/2705/med-B277 VH-XAW.jpg,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0060/2705/small-B277 VH-XAW.jpg,BOMBER 277,VH-XAW,3100,true,70,true,70,Turboprop,1,PRATT & WHITNEY CANADA,PT6A-65R,Kerosene - JetA1,Tailwheel - Fixed,7275,Australia,Full Registration,802-0181,Restricted,true,null,FRDS GEN II,true,false,null,,,null,300,null,161,1,5,https://arena.nafc.org.au/resource/api/ext/operators/5,36,Kennedy Air Ag Pty Ltd,Kennedy Air Ag Pty Ltd,+61427435325,+61428435325,ops@kennedyair.com.au,Incident Observation,,,,true,2022-02-18T16:58:48+1100,Gel Dispensing System;Foam Dispensing System;Split Load / Multi-Drop Capability;Has Firebombing System,2,QLD - QFES,QLD,2,QLD - QFES,QLD,VIC,
36,250,https://arena.nafc.org.au/resource/api/ext/aircraft/36,FIXED_WING,AIR TRACTOR INC,AT-802,FixType4,FW - Type 4 SEAT,,7C7488,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0089/9059/med-photo 3.JPG,https://s3-ap-southeast-2.amazonaws.com/nafc-arena-prod/files/0089/9059/small-photo 3.JPG,BOMBER 299,VH-XAY,3100,true,70,false,70,Turboprop,1,PRATT & WHITNEY CANADA,PT6A-67AG,Kerosene - JetA1,Tailwheel - Fixed,7257,Australia,Full Registration,802-0176,Restricted,true,null,FRDS GEN II,true,false,null,,,null,300,null,161,1,5,https://arena.nafc.org.au/resource/api/ext/operators/5,36,Kennedy Air Ag Pty Ltd,Kennedy Air Ag Pty Ltd,+61427435325,+61428435325,ops@kennedyair.com.au,Incident Mapping,,,,true,2022-02-18T16:58:48+1100,Foam Dispensing System;Split Load / Multi-Drop Capability;Has Firebombing System,2,QLD - QFES,QLD,17,VIC - DELWP,VIC,QLD,
