id,entityID,url,imei,isVehicle,description,isSuppressantMixer,isRetardantMixer,isRefueler,fuelType,registration,id,url,entityID,name,registeredName,telephone,operationalContact,email,.equipment[].serviceRoles[],.equipment[].approvedByAgencies[],.equipment[].jurisdictions[],warnings,change,.equipment[].capabilities[],name,id,name,jurisdiction,id,name,jurisdiction,name,.equipment[].serviceRoles[].approvedBy[]
15,1792,https://arena.nafc.org.au/resource/api/ext/equipment/15,,true,Fuel Truck,false,false,true,Kerosene - JetA1,BK15YU,56,https://arena.nafc.org.au/resource/api/ext/operators/56,1430,Rebel Ag Pty Ltd,Rebel Ag Pty Ltd,+61268887101,+61473000802,julieblack@rebelag.com.au,,,,true,2014-08-04T16:11:15+1000,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
16,2251,https://arena.nafc.org.au/resource/api/ext/equipment/16,,true,Fuel Truck,false,false,true,Kerosene - JetA1,286HDR,48,https://arena.nafc.org.au/resource/api/ext/operators/48,825,McDermott Aviation Pty Ltd,McDermott Aviation Pty Ltd,+61754476600,+61407030602,arena@mcdermottaviation.com.au,,,,false,2017-12-18T16:55:35+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
19,2276,https://arena.nafc.org.au/resource/api/ext/equipment/19,,true,Toyota Hilux,false,false,false,,DMV89K,63,https://arena.nafc.org.au/resource/api/ext/operators/63,2252,Aero Logistics Helicopters,Aero Logistics Pty Ltd,+61249609322,+61422788554,fireops@aerologistics.com.au,,,,false,2021-09-06T12:44:37+1000,Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
20,2341,https://arena.nafc.org.au/resource/api/ext/equipment/20,300234062844130,true,Fuel Truck,false,false,true,Kerosene - JetA1,370HHF,48,https://arena.nafc.org.au/resource/api/ext/operators/48,825,McDermott Aviation Pty Ltd,McDermott Aviation Pty Ltd,+61754476600,+61407030602,arena@mcdermottaviation.com.au,,,,false,2018-12-24T15:10:10+1100,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
21,2352,https://arena.nafc.org.au/resource/api/ext/equipment/21,300234062818880,true,Fuel Truck,false,false,true,Kerosene - JetA1,827RDX,48,https://arena.nafc.org.au/resource/api/ext/operators/48,825,McDermott Aviation Pty Ltd,McDermott Aviation Pty Ltd,+61754476600,+61407030602,arena@mcdermottaviation.com.au,,,,false,2018-12-24T09:21:59+1100,Is Refueler;Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
22,2356,https://arena.nafc.org.au/resource/api/ext/equipment/22,300034012599400,true,Fuel Truck,false,false,true,Kerosene - JetA1,639TNQ,48,https://arena.nafc.org.au/resource/api/ext/operators/48,825,McDermott Aviation Pty Ltd,McDermott Aviation Pty Ltd,+61754476600,+61407030602,arena@mcdermottaviation.com.au,,,,false,2018-12-24T09:19:09+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
23,2655,https://arena.nafc.org.au/resource/api/ext/equipment/23,,true,WESTERN STAR 25000 L REFUELER,false,false,true,Kerosene - JetA1,323-SEK,65,https://arena.nafc.org.au/resource/api/ext/operators/65,2590,Precision Aerial Meandarra,Meandarra Aerial Spraying Pty Ltd,+61428656600,+61428656600,office@precisionaerial.com.au,,,,true,2017-08-10T11:07:46+1000,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
25,2897,https://arena.nafc.org.au/resource/api/ext/equipment/25,,true,Bulk Fuel Tanker (Jet A1) 20	000 Ltr,false,false,true,Kerosene - JetA1,637TBC,68,https://arena.nafc.org.au/resource/api/ext/operators/68,2881,Omni,MI Helicopters Pty Ltd,+611800600345,+611800600345,opsaeroeast@omniexe.com,,,,true,2022-06-07T19:39:48+1000,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
27,960,https://arena.nafc.org.au/resource/api/ext/equipment/27,,true,Mack Metroliner Heavy Rigid Truck,false,false,true,Kerosene - JetA1,XN07KD,47,https://arena.nafc.org.au/resource/api/ext/operators/47,813,FRED FAHEY AERIAL SERVICES,FLYITON PTY LTD,+61263429256,+61428637253,roryfahey@ffas.net.au,,,,true,2021-09-13T14:52:16+1000,Is Refueler;Is Vehicle,Refueler - Bridging,2,QLD - QFES,QLD,2,QLD - QFES,QLD,QLD,
28,3236,https://arena.nafc.org.au/resource/api/ext/equipment/28,,false,Incendiary Machine,false,false,false,,,71,https://arena.nafc.org.au/resource/api/ext/operators/71,3197,Touchdown Helicopters Pty Limited,Touchdown Helicopters Pty Ltd,+61242577612,+61417121545,info@touchdownhelicopters.com.au,,,,false,2014-07-24T17:01:26+1000,,Refueler - Mobile,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
29,2640,https://arena.nafc.org.au/resource/api/ext/equipment/29,,true,Drum Refueling Trailer,false,false,true,Kerosene - JetA1,U08608,63,https://arena.nafc.org.au/resource/api/ext/operators/63,2252,Aero Logistics Helicopters,Aero Logistics Pty Ltd,+61249609322,+61422788554,fireops@aerologistics.com.au,,,,false,2021-09-06T12:44:37+1000,Is Refueler;Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
30,3418,https://arena.nafc.org.au/resource/api/ext/equipment/30,,true,17000 ltr fuel truck,false,false,true,Kerosene - JetA1,438 MRK,52,https://arena.nafc.org.au/resource/api/ext/operators/52,1342,Calibre Aviation,Central Qld Aviation PTY LTD,+61749875400,+61429875400,admin@calibreaviation.com.au,,,,true,2021-01-19T17:15:12+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
32,3599,https://arena.nafc.org.au/resource/api/ext/equipment/32,,false,2000ltr Fuel Cubes - 2 each,false,false,true,Kerosene - JetA1,,74,https://arena.nafc.org.au/resource/api/ext/operators/74,3589,SKYWORK HELICOPTERS,Skywork Helicopters (Aust) Pty Ltd,+64212760048,+64212760048,paul@skyworkhelicopters.com,,,,true,2019-10-23T07:50:51+1100,Is Refueler,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
33,3761,https://arena.nafc.org.au/resource/api/ext/equipment/33,,true,Kenworth Fuel Truck,false,false,true,Kerosene - JetA1,BV-85-GO,5,https://arena.nafc.org.au/resource/api/ext/operators/5,36,Kennedy Air Ag Pty Ltd,Kennedy Air Ag Pty Ltd,+61427435325,+61428435325,ops@kennedyair.com.au,,,,true,2022-02-18T16:58:48+1100,Is Refueler;Is Vehicle,Refueler - Mobile,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
34,3858,https://arena.nafc.org.au/resource/api/ext/equipment/34,,true,Mack Vision Heavy Rigid Truck,false,false,true,Kerosene - JetA1,MCK470,47,https://arena.nafc.org.au/resource/api/ext/operators/47,813,FRED FAHEY AERIAL SERVICES,FLYITON PTY LTD,+61263429256,+61428637253,roryfahey@ffas.net.au,,,,true,2021-09-13T14:52:16+1000,Is Refueler;Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
35,3859,https://arena.nafc.org.au/resource/api/ext/equipment/35,,true,Isuzu Medium Rigid Truck,false,false,true,Kerosene - JetA1,XN18IK,47,https://arena.nafc.org.au/resource/api/ext/operators/47,813,FRED FAHEY AERIAL SERVICES,FLYITON PTY LTD,+61263429256,+61428637253,roryfahey@ffas.net.au,,,,true,2021-09-13T14:52:16+1000,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
36,3860,https://arena.nafc.org.au/resource/api/ext/equipment/36,,true,Fuel Dog Trailer,false,false,true,Kerosene - JetA1,W89980,47,https://arena.nafc.org.au/resource/api/ext/operators/47,813,FRED FAHEY AERIAL SERVICES,FLYITON PTY LTD,+61263429256,+61428637253,roryfahey@ffas.net.au,,,,true,2021-09-13T14:52:16+1000,Is Refueler;Is Vehicle,Suppressant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
37,3861,https://arena.nafc.org.au/resource/api/ext/equipment/37,,true,Suppressant Mixing Dog Trailer,true,false,false,,S71911,47,https://arena.nafc.org.au/resource/api/ext/operators/47,813,FRED FAHEY AERIAL SERVICES,FLYITON PTY LTD,+61263429256,+61428637253,roryfahey@ffas.net.au,,,,true,2021-09-13T14:52:16+1000,Is Suppressant Mixer;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
38,3954,https://arena.nafc.org.au/resource/api/ext/equipment/38,,true,Isuzu FXY1500 Tray / Aviation Fuel Truck - 6	600 litres,false,false,true,Kerosene - JetA1,1CQ-6FW,77,https://arena.nafc.org.au/resource/api/ext/operators/77,3938,Field Air,Field Air (Operations) Pty Ltd ATF the Field Air Operations Unit Trust,+61353309300,+61400517326,contractadmin@fieldair.com.au,,,,false,2021-02-25T17:46:13+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
39,4124,https://arena.nafc.org.au/resource/api/ext/equipment/39,tp1713885,true,27000 L Fuel Dog Trailer,false,false,true,Kerosene - JetA1,V-46195,5,https://arena.nafc.org.au/resource/api/ext/operators/5,36,Kennedy Air Ag Pty Ltd,Kennedy Air Ag Pty Ltd,+61427435325,+61428435325,ops@kennedyair.com.au,,,,true,2022-02-18T16:58:48+1100,Is Refueler;Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
42,4117,https://arena.nafc.org.au/resource/api/ext/equipment/42,300234062905390,true,Scania Fuel Truck,false,false,true,Kerosene - JetA1,BG-02-XY,5,https://arena.nafc.org.au/resource/api/ext/operators/5,36,Kennedy Air Ag Pty Ltd,Kennedy Air Ag Pty Ltd,+61427435325,+61428435325,ops@kennedyair.com.au,,,,true,2022-02-18T16:58:48+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
43,4587,https://arena.nafc.org.au/resource/api/ext/equipment/43,,true,Fuel support truck,false,false,true,Kerosene - JetA1,Sky 038,72,https://arena.nafc.org.au/resource/api/ext/operators/72,3331,Skycroppers,Skycroppers,+61269641919,+61269641919,sales@skycroppers.com.au,,,,false,2022-02-09T13:03:16+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
44,4597,https://arena.nafc.org.au/resource/api/ext/equipment/44,,true,Fuel support truck,false,false,true,Kerosene - JetA1,BI84KN,72,https://arena.nafc.org.au/resource/api/ext/operators/72,3331,Skycroppers,Skycroppers,+61269641919,+61269641919,sales@skycroppers.com.au,,,,false,2022-02-09T13:03:16+1100,Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
45,4787,https://arena.nafc.org.au/resource/api/ext/equipment/45,,true,Ford F250 Utillity,false,false,true,Kerosene - JetA1,ANE 70 X,80,https://arena.nafc.org.au/resource/api/ext/operators/80,4403,Eagle Helicopters Pty Ltd,Eagle Helicopters Pty Ltd,+61263641144,+61427427207,eagleheli@bigpond.com,,,,true,2019-10-22T14:46:40+1100,Is Refueler;Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
46,5083,https://arena.nafc.org.au/resource/api/ext/equipment/46,,true,Hino Fuel Truck	 Gel	retardant	 foam mixer,true,true,true,Kerosene - JetA1,BK69HK,78,https://arena.nafc.org.au/resource/api/ext/operators/78,3946,Col Adams Aerial Services,Col Adams Aerial,+61427421723,+61427421723,scott@adamsaerial.com.au,,,,false,2014-08-02T11:34:06+1000,Is Suppressant Mixer;Is Retardant Mixer;Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
47,5169,https://arena.nafc.org.au/resource/api/ext/equipment/47,,true,Nissan Patrol Tray Back,false,false,false,,482KTA,84,https://arena.nafc.org.au/resource/api/ext/operators/84,4775,null,Aeropower [OLD - DO NOT USE],+61733859500,1300074151,reception@aeropower.com.au,,,,true,2019-12-09T23:01:30+1100,Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
48,5321,https://arena.nafc.org.au/resource/api/ext/equipment/48,,true,XNH-966 Mixing Plant 1,true,true,false,,XNH 966,86,https://arena.nafc.org.au/resource/api/ext/operators/86,5318,Forest Systems,Forest Systems Pty Ltd,+61417056295,+61417056295,cc@forestsystems.com.au,,,,true,2019-08-16T15:59:13+1000,Is Suppressant Mixer;Is Retardant Mixer;Is Vehicle,Suppressant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
50,5618,https://arena.nafc.org.au/resource/api/ext/equipment/50,,true,Refuelling trailer,false,false,true,Kerosene - JetA1,553 QXK,61,https://arena.nafc.org.au/resource/api/ext/operators/61,2034,Dwyer Aviation Services,Tude's Choppers Pty Ltd,+61747829015,+61419825665,info@dwyeraviation.com.au,,,,true,2014-08-04T11:55:21+1000,Is Refueler;Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
51,5652,https://arena.nafc.org.au/resource/api/ext/equipment/51,,false,Red Dragon Aerial Incendiary Machine,false,false,false,,,61,https://arena.nafc.org.au/resource/api/ext/operators/61,2034,Dwyer Aviation Services,Tude's Choppers Pty Ltd,+61747829015,+61419825665,info@dwyeraviation.com.au,,,,true,2014-08-04T11:28:53+1000,,Suppressant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
53,5771,https://arena.nafc.org.au/resource/api/ext/equipment/53,,true,Semi Water Tankers,true,true,true,,,87,https://arena.nafc.org.au/resource/api/ext/operators/87,5752,null,Liddles Air Service,+61747762030,+61419674073,air@liddles.com.au,,,,true,2014-08-04T15:24:28+1000,Is Suppressant Mixer;Is Retardant Mixer;Is Refueler;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
54,6109,https://arena.nafc.org.au/resource/api/ext/equipment/54,,true,Big Red,true,true,false,,X58723,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2014-08-22T14:35:54+1000,Is Suppressant Mixer;Is Retardant Mixer;Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
55,6339,https://arena.nafc.org.au/resource/api/ext/equipment/55,,true,Fuel Trailer,false,false,true,Kerosene - JetA1,137QOJ,84,https://arena.nafc.org.au/resource/api/ext/operators/84,4775,null,Aeropower [OLD - DO NOT USE],+61733859500,1300074151,reception@aeropower.com.au,,,,true,2019-12-09T23:01:30+1100,Is Refueler;Is Vehicle,Suppressant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
56,6342,https://arena.nafc.org.au/resource/api/ext/equipment/56,,true,Mitsubishi Dual Cab Triton,false,false,false,,820 KIV,84,https://arena.nafc.org.au/resource/api/ext/operators/84,4775,null,Aeropower [OLD - DO NOT USE],+61733859500,1300074151,reception@aeropower.com.au,,,,true,2019-12-09T23:01:30+1100,Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
59,5721,https://arena.nafc.org.au/resource/api/ext/equipment/59,,false,Premo MKII Aerial Incendiary,false,false,false,,,85,https://arena.nafc.org.au/resource/api/ext/operators/85,4931,National Helicopters Pty Ltd,National Helicopters Pty Ltd,+61417417211,+61417417211,peter@nationalhelicopters.com.au,,,,false,2019-12-13T19:43:15+1100,,Suppressant Mixer - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
60,7806,https://arena.nafc.org.au/resource/api/ext/equipment/60,,true,Ford Ranger XL Dual Cab with Trailer,false,false,true,Kerosene - JetA1,B289PE,10,https://arena.nafc.org.au/resource/api/ext/operators/10,61,Sydney Helicopters,Sydney Helicopters Pty Ltd,+61296374455,+61438216657,fireops@sydneyhelicopters.com.au,,,,true,2020-11-28T12:34:50+1100,Is Refueler;Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
66,8425,https://arena.nafc.org.au/resource/api/ext/equipment/66,,true,Quad Dog Fuel Trailer,false,false,true,Kerosene - JetA1,V32418,56,https://arena.nafc.org.au/resource/api/ext/operators/56,1430,Rebel Ag Pty Ltd,Rebel Ag Pty Ltd,+61268887101,+61473000802,julieblack@rebelag.com.au,,,,true,2014-08-20T15:08:53+1000,Is Refueler;Is Vehicle,Suppressant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
67,8497,https://arena.nafc.org.au/resource/api/ext/equipment/67,,true,PACU (Portable Aviation Command Unit),false,false,false,,PACU 1,93,https://arena.nafc.org.au/resource/api/ext/operators/93,6726,NSW Rural Fire Service - State Air Desk,NSW Rural Fire Service - State Air Desk,1300677723,1300677723,anthony.ferguson@rfs.nsw.gov.au,,,,false,2014-11-14T11:18:03+1100,Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,2,QLD - QFES,QLD,QLD,
68,8506,https://arena.nafc.org.au/resource/api/ext/equipment/68,,true,PACU (Portable Aviation Command Unit),false,false,false,,PACU 2,93,https://arena.nafc.org.au/resource/api/ext/operators/93,6726,NSW Rural Fire Service - State Air Desk,NSW Rural Fire Service - State Air Desk,1300677723,1300677723,anthony.ferguson@rfs.nsw.gov.au,,,,false,2014-11-14T11:18:03+1100,Is Vehicle,Retardant Mixer - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
69,8509,https://arena.nafc.org.au/resource/api/ext/equipment/69,,true,PACU (Portable Aviation Command Unit),false,false,false,,PACU 3,93,https://arena.nafc.org.au/resource/api/ext/operators/93,6726,NSW Rural Fire Service - State Air Desk,NSW Rural Fire Service - State Air Desk,1300677723,1300677723,anthony.ferguson@rfs.nsw.gov.au,,,,false,2014-11-14T11:18:03+1100,Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
70,8511,https://arena.nafc.org.au/resource/api/ext/equipment/70,,true,PACU (Portable Aviation Command Unit),false,false,false,,PACU 4,93,https://arena.nafc.org.au/resource/api/ext/operators/93,6726,NSW Rural Fire Service - State Air Desk,NSW Rural Fire Service - State Air Desk,1300677723,1300677723,anthony.ferguson@rfs.nsw.gov.au,,,,false,2014-11-14T11:18:03+1100,Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
71,8675,https://arena.nafc.org.au/resource/api/ext/equipment/71,,true,Priscilla,true,true,false,,Y33558,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2014-08-22T14:28:58+1000,Is Suppressant Mixer;Is Retardant Mixer;Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
72,8708,https://arena.nafc.org.au/resource/api/ext/equipment/72,,true,Linebacker,true,true,false,,CE01JM,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2020-08-31T13:43:03+1000,Is Suppressant Mixer;Is Retardant Mixer;Is Vehicle,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
73,8719,https://arena.nafc.org.au/resource/api/ext/equipment/73,,false,Dash 10,true,true,false,,,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2014-08-22T14:56:18+1000,Is Suppressant Mixer;Is Retardant Mixer,Refueler - Bridging,2,QLD - QFES,QLD,1,NSW - RFS,NSW,NSW,
74,8722,https://arena.nafc.org.au/resource/api/ext/equipment/74,,false,Diptanks,false,false,false,,,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2014-08-22T15:09:43+1000,,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
75,8738,https://arena.nafc.org.au/resource/api/ext/equipment/75,,true,4WD Forklift,false,false,false,,16970C,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2014-08-22T15:34:08+1000,Is Vehicle,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
76,8744,https://arena.nafc.org.au/resource/api/ext/equipment/76,,false,ISO Tanks,false,false,false,,,90,https://arena.nafc.org.au/resource/api/ext/operators/90,6101,Phos-Chek Australia,PC Australasia Pty Ltd,+61260406900,+61417525970,info@phos-chek.com.au,,,,false,2014-08-22T15:44:43+1000,,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
77,8747,https://arena.nafc.org.au/resource/api/ext/equipment/77,,false,Incendiary Machine Premo MK III,false,false,false,,,66,https://arena.nafc.org.au/resource/api/ext/operators/66,2606,Heli Surveys,Heli Surveys Pty Ltd,1300459686,1300459686,info@helisurveys.com.au,,,,false,2020-09-08T15:17:13+1000,,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
78,8748,https://arena.nafc.org.au/resource/api/ext/equipment/78,,false,Incendiary Machine Premo MK III,false,false,false,,,66,https://arena.nafc.org.au/resource/api/ext/operators/66,2606,Heli Surveys,Heli Surveys Pty Ltd,1300459686,1300459686,info@helisurveys.com.au,,,,false,2020-09-08T15:17:13+1000,,Refueler - Mobile,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
79,8752,https://arena.nafc.org.au/resource/api/ext/equipment/79,,false,FLIR,false,false,false,,,66,https://arena.nafc.org.au/resource/api/ext/operators/66,2606,Heli Surveys,Heli Surveys Pty Ltd,1300459686,1300459686,info@helisurveys.com.au,,,,false,2020-09-08T15:17:13+1000,,Refueler - Bridging,1,NSW - RFS,NSW,1,NSW - RFS,NSW,NSW,
