imei,url,assetType,assetRegistration,transmitted,received,latitude,longitude,speed,track,altitude,event,source,messageText,productType,volume
300234066183450,https://arena.nafc.org.au/tracking/api/ext/tracks/300234066183450,HELICOPTER,VH-WMW,2022-07-26T11:28:43+1000,2022-07-26T11:30:51+1000,-37.1115,145.093333333333,223,198,457,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234066283270,https://arena.nafc.org.au/tracking/api/ext/tracks/300234066283270,HELICOPTER,ZK-ILN,2022-07-26T11:31:50+1000,2022-07-26T11:32:51+1000,-37.2143333333333,145.066333333333,208,203,550,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234066336790,https://arena.nafc.org.au/tracking/api/ext/tracks/300234066336790,HELICOPTER,HT335 N281JL McDermott DV,2022-07-26T11:34:56+1000,2022-07-26T11:36:51+1000,-37.313,145.0495,212,215,555,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234066588230,https://arena.nafc.org.au/tracking/api/ext/tracks/300234066588230,HELICOPTER,HT672 - N234PH - McDermott DV,2022-07-26T11:38:03+1000,2022-07-26T11:38:51+1000,-37.4068333333333,145.022333333333,212,180,549,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234066689240,https://arena.nafc.org.au/tracking/api/ext/tracks/300234066689240,FIXED_WING,ZK-HNW,2022-07-26T11:41:22+1000,2022-07-26T11:42:51+1000,-37.5075,145.017166666667,230,174,472,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234066731250,https://arena.nafc.org.au/tracking/api/ext/tracks/300234066731250,HELICOPTER,ZK-HRM,2022-07-26T11:44:36+1000,2022-07-26T11:44:51+1000,-37.6236666666667,145.009,241,177,409,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234067137830,https://arena.nafc.org.au/tracking/api/ext/tracks/300234067137830,HELICOPTER,HT339 N254SM McDermott DV,2022-07-26T11:47:44+1000,2022-07-26T11:48:50+1000,-37.7341666666667,144.996166666667,237,187,343,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234067138630,https://arena.nafc.org.au/tracking/api/ext/tracks/300234067138630,HELICOPTER,HT417 VH-SUH McDermott DV exN49732,2022-07-26T11:50:57+1000,2022-07-26T11:52:50+1000,-37.8343333333333,144.983166666667,140,178,226,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300234068218780,https://arena.nafc.org.au/tracking/api/ext/tracks/300234068218780,HELICOPTER,FB254,2022-07-26T11:51:30+1000,2022-07-26T11:52:51+1000,-37.843,144.982333333333,54,193,82,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434061577650,https://arena.nafc.org.au/tracking/api/ext/tracks/300434061577650,HELICOPTER,ZK-HJO,2022-07-26T11:52:14+1000,2022-07-26T11:52:51+1000,-37.8451666666667,144.981333333333,0,212,22,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062090610,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062090610,HELICOPTER,ZK-IER,2022-07-26T13:15:29+1000,2022-07-26T13:16:51+1000,-37.8451666666667,144.981333333333,0,0,29,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062091330,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062091330,HELICOPTER,N746H - McDermott,2022-07-26T13:15:50+1000,2022-07-26T13:16:51+1000,-37.8451666666667,144.981333333333,0,0,27,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062092410,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062092410,VEHICLE,Pays Fuel Truck WRC 136,2022-07-26T06:22:28+1000,2022-07-26T06:22:51+1000,-36.74,144.325166666667,0,0,0,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062093430,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062093430,HELICOPTER,ZK-HSN,2022-07-26T06:24:20+1000,2022-07-26T06:24:50+1000,-36.7308333333333,144.330333333333,144,359,301,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062093530,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062093530,HELICOPTER,HT662 N97MD McDermott,2022-07-26T06:27:31+1000,2022-07-26T06:28:51+1000,-36.6898333333333,144.441833333333,302,72,919,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062096910,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062096910,HELICOPTER,ZK-HGV,2022-07-26T06:30:40+1000,2022-07-26T06:32:51+1000,-36.6443333333333,144.6105,302,71,928,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062097830,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062097830,HELICOPTER,PKAR02,2022-07-26T06:34:38+1000,2022-07-26T06:36:51+1000,-36.5905,144.808,306,71,932,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062166120,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062166120,FIXED_WING,BD500 VH-ODU Aerotech,2022-07-26T06:37:48+1000,2022-07-26T06:38:51+1000,-36.5405,144.991,302,72,929,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062166130,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062166130,FIXED_WING,B412,2022-07-26T06:41:03+1000,2022-07-26T06:42:51+1000,-36.4938333333333,145.159,302,71,856,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062191200,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062191200,HELICOPTER,FB734 VH-ULT Tasmanian Helicopters,2022-07-26T06:44:15+1000,2022-07-26T06:44:51+1000,-36.4483333333333,145.322833333333,277,71,467,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062581430,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062581430,HELICOPTER,PKAR05,2022-07-26T06:47:23+1000,2022-07-26T06:48:51+1000,-36.4316666666667,145.390833333333,104,11,162,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062583390,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062583390,FIXED_WING,B434 VH-OUY CHAS,2022-07-26T06:47:50+1000,2022-07-26T06:48:51+1000,-36.4275,145.391833333333,39,11,126,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062588660,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062588660,FIXED_WING,FS124 SLF,2022-07-26T06:48:15+1000,2022-07-26T06:48:51+1000,-36.4266666666667,145.392,7,15,119,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062589650,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062589650,HELICOPTER,FB508 (SA) FB801(NT) VH-HQO,2022-07-26T07:39:22+1000,2022-07-26T07:40:51+1000,-36.4275,145.3905,7,176,115,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062690990,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062690990,FIXED_WING,PKAR06,2022-07-26T07:39:31+1000,2022-07-26T07:40:51+1000,-36.4275,145.390666666667,7,106,116,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062781320,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062781320,FIXED_WING,VH-KGI,2022-07-26T07:39:59+1000,2022-07-26T07:40:51+1000,-36.4348333333333,145.390166666667,158,189,182,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062786300,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062786300,HELICOPTER,FB715 VH-ZAT Tasmanian Helicopters,2022-07-26T07:43:51+1000,2022-07-26T07:44:51+1000,-36.5436666666667,145.3655,230,193,627,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062791870,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062791870,HELICOPTER,FB450 VH-YUR McDermott,2022-07-26T07:46:59+1000,2022-07-26T07:48:51+1000,-36.6498333333333,145.315333333333,226,204,630,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062796400,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062796400,HELICOPTER,FB221 VH-ONS Fleet Helicopters,2022-07-26T07:50:10+1000,2022-07-26T07:50:51+1000,-36.7496666666667,145.269166666667,226,198,613,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062798100,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062798100,HELICOPTER,FB474 VH-HRU McDermott,2022-07-26T07:53:24+1000,2022-07-26T07:54:51+1000,-36.8536666666667,145.225833333333,234,199,614,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434062799090,https://arena.nafc.org.au/tracking/api/ext/tracks/300434062799090,HELICOPTER,FB239 VH-JWF Fleet/Commercial,2022-07-26T07:56:41+1000,2022-07-26T07:58:50+1000,-36.9626666666667,145.177166666667,237,201,613,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063013510,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063013510,FIXED_WING,B266 VH-XAV Kennedy Air +FIREBOSS+,2022-07-26T08:00:08+1000,2022-07-26T08:00:51+1000,-37.0743333333333,145.124833333333,248,201,614,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063110280,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063110280,HELICOPTER,FB270 VH-HVK Sydney Helicopters,2022-07-26T08:03:20+1000,2022-07-26T08:04:51+1000,-37.198,145.0775,237,190,613,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063110860,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063110860,HELICOPTER,ZK-HGR,2022-07-26T08:06:28+1000,2022-07-26T08:06:51+1000,-37.3121666666667,145.055166666667,244,189,614,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063111830,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063111830,FIXED_WING,VH-KCS,2022-07-26T08:09:38+1000,2022-07-26T08:10:51+1000,-37.4275,145.037,252,186,613,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063112270,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063112270,HELICOPTER,ZK-HVA,2022-07-26T08:12:47+1000,2022-07-26T08:14:51+1000,-37.548,145.020666666667,262,186,461,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063115890,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063115890,FIXED_WING,SLE,2022-07-26T08:15:57+1000,2022-07-26T08:16:51+1000,-37.67,145.015666666667,284,153,406,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063117250,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063117250,HEARTBEAT,HB-RockAIR,2022-07-26T08:19:56+1000,2022-07-26T08:20:51+1000,-37.8085,144.99,230,187,263,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063118840,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063118840,FIXED_WING,B455 VH-XAJ Kennedy Air +FIREBOSS+,2022-07-26T08:21:07+1000,2022-07-26T08:22:51+1000,-37.8436666666667,144.9815,54,182,93,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063144320,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063144320,VEHICLE,McDermott 05 - Scania - 639-TNQ,2022-07-26T08:21:43+1000,2022-07-26T08:22:51+1000,-37.8451666666667,144.981333333333,0,201,18,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063223430,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063223430,HELICOPTER,FB504 VH-HRG Aerotech,2022-07-26T10:34:13+1000,2022-07-26T10:34:51+1000,-37.8451666666667,144.981333333333,0,0,18,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063227400,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063227400,HELICOPTER,PKAR01,2022-07-26T10:34:45+1000,2022-07-26T10:36:51+1000,-37.8451666666667,144.981333333333,0,47,18,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063284250,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063284250,HELICOPTER,LS31 (VH-XXR),2022-07-26T10:35:46+1000,2022-07-26T10:36:51+1000,-37.838,144.9815,162,360,171,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063284410,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063284410,HELICOPTER,ZK-IED,2022-07-26T10:38:55+1000,2022-07-26T10:40:51+1000,-37.75,144.924166666667,241,323,463,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063286270,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063286270,HELICOPTER,FB100 (VH-XXU),2022-07-26T10:42:03+1000,2022-07-26T10:42:51+1000,-37.6743333333333,144.8245,262,341,464,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063288310,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063288310,HELICOPTER,FB717 VH-DKT Tasmanian Helicopters,2022-07-26T10:45:19+1000,2022-07-26T10:46:51+1000,-37.5886666666667,144.743,223,315,621,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063321240,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063321240,HELICOPTER,FB257 VH-DMX NSW Helicopters Bell 427,2022-07-26T10:48:27+1000,2022-07-26T10:48:51+1000,-37.5058333333333,144.645666666667,237,323,709,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063353570,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063353570,FIXED_WING,B252 VH-WXF Aircair Aviation,2022-07-26T10:51:35+1000,2022-07-26T10:52:51+1000,-37.4126666666667,144.566666666667,252,337,917,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063382420,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063382420,HELICOPTER,FB700 (VH-XXM),2022-07-26T10:54:49+1000,2022-07-26T10:56:51+1000,-37.2951666666667,144.522666666667,259,344,935,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063382610,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063382610,FIXED_WING,PKAR07,2022-07-26T10:58:05+1000,2022-07-26T10:58:51+1000,-37.1746666666667,144.4805,259,344,922,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063389510,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063389510,HELICOPTER,ZK-IYY - ex IWC,2022-07-26T11:01:13+1000,2022-07-26T11:02:51+1000,-37.0476666666667,144.436166666667,277,345,837,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063396370,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063396370,FIXED_WING,B288 VH-XAT Kennedy Air +FIREBOSS+,2022-07-26T11:05:00+1000,2022-07-26T11:06:51+1000,-36.9046666666667,144.386833333333,270,343,774,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063419150,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063419150,FIXED_WING,VH-CSA,2022-07-26T11:08:13+1000,2022-07-26T11:08:51+1000,-36.7751666666667,144.353166666667,252,347,568,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063643430,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063643430,HELICOPTER,ZK-HDB,2022-07-26T11:10:11+1000,2022-07-26T11:10:51+1000,-36.7395,144.328,61,241,229,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063649880,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063649880,HELICOPTER,ZK-IOJ,2022-07-26T11:10:56+1000,2022-07-26T11:12:51+1000,-36.7403333333333,144.324833333333,0,317,218,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063821790,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063821790,VEHICLE,McDermott 03 - Mercedes - 1GEJ202,2022-07-26T07:54:39+1000,2022-07-26T07:56:51+1000,-37.7203333333333,144.898833333333,0,0,92,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063826930,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063826930,HELICOPTER,ZK-HXX,2022-07-26T07:58:06+1000,2022-07-26T07:58:50+1000,-37.7208333333333,144.900833333333,7,180,94,EVT_STANDARD,TRACPLUS,,UNKNOWN,1586
300434063862080,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063862080,HELICOPTER,ZK-HDW,2022-07-26T07:58:50+1000,2022-07-26T08:00:51+1000,-37.7266666666667,144.901166666667,158,178,123,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063863070,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063863070,HELICOPTER,FB226 VH-IHC AIR T&G,2022-07-26T08:02:10+1000,2022-07-26T08:02:51+1000,-37.798,144.988166666667,244,127,909,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063867770,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063867770,HELICOPTER,XIA Mobile (RA),2022-07-26T08:05:18+1000,2022-07-26T08:06:51+1000,-37.8535,145.1415,280,120,631,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434063869070,https://arena.nafc.org.au/tracking/api/ext/tracks/300434063869070,HELICOPTER,FB464 VH-YEU McDermott,2022-07-26T08:08:27+1000,2022-07-26T08:08:51+1000,-37.9226666666667,145.2815,273,125,610,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434064013620,https://arena.nafc.org.au/tracking/api/ext/tracks/300434064013620,HELICOPTER,HT468 VH-UHH Heli-Central,2022-07-26T08:11:34+1000,2022-07-26T08:12:51+1000,-37.995,145.4135,270,130,457,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434064111470,https://arena.nafc.org.au/tracking/api/ext/tracks/300434064111470,HELICOPTER,Beck 3,2022-07-26T08:14:43+1000,2022-07-26T08:16:51+1000,-38.0546666666667,145.562166666667,288,107,407,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434064127480,https://arena.nafc.org.au/tracking/api/ext/tracks/300434064127480,VEHICLE,Fuel Truck (MHS 18),2022-07-26T08:17:50+1000,2022-07-26T08:18:51+1000,-38.089,145.727166666667,280,98,416,EVT_STANDARD,TRACPLUS,,UNKNOWN,
300434064333660,https://arena.nafc.org.au/tracking/api/ext/tracks/300434064333660,VEHICLE,XN53RY - R101 - Techfuel,2022-07-26T08:20:59+1000,2022-07-26T08:22:51+1000,-38.1118333333333,145.887833333333,266,103,940,EVT_STANDARD,TRACPLUS,,UNKNOWN,1517
300434064554130,https://arena.nafc.org.au/tracking/api/ext/tracks/300434064554130,HELICOPTER,VH-VRD,2022-07-26T08:24:12+1000,2022-07-26T08:24:51+1000,-38.1383333333333,146.047833333333,277,102,936,EVT_STANDARD,TRACPLUS,,UNKNOWN,1922
300434065396830,https://arena.nafc.org.au/tracking/api/ext/tracks/300434065396830,HELICOPTER,PKAR03,2022-07-26T08:27:20+1000,2022-07-26T08:28:51+1000,-38.1656666666667,146.2145,280,102,932,EVT_STANDARD,TRACPLUS,,UNKNOWN,1415
300434066000610,https://arena.nafc.org.au/tracking/api/ext/tracks/300434066000610,FIXED_WING,B588 VH-OUE Aerotech,2022-07-26T08:30:29+1000,2022-07-26T08:30:51+1000,-38.1928333333333,146.381333333333,291,102,933,EVT_STANDARD,TRACPLUS,,UNKNOWN,2250
300434066001530,https://arena.nafc.org.au/tracking/api/ext/tracks/300434066001530,FIXED_WING,B591 VH-ODP Aerotech,2022-07-26T08:33:40+1000,2022-07-26T08:34:51+1000,-38.1846666666667,146.551666666667,298,69,934,EVT_STANDARD,TRACPLUS,,UNKNOWN,453
300434066003580,https://arena.nafc.org.au/tracking/api/ext/tracks/300434066003580,FIXED_WING,B580 VH-ODX Aerotech,2022-07-26T08:36:52+1000,2022-07-26T08:38:51+1000,-38.1333333333333,146.720166666667,298,79,927,EVT_STANDARD,TRACPLUS,,UNKNOWN,2432
300434066004750,https://arena.nafc.org.au/tracking/api/ext/tracks/300434066004750,FIXED_WING,FS555 VH-TWX,2022-07-26T08:40:00+1000,2022-07-26T08:40:51+1000,-38.0991666666667,146.897166666667,295,82,686,EVT_STANDARD,TRACPLUS,,UNKNOWN,2906
300434066211570,https://arena.nafc.org.au/tracking/api/ext/tracks/300434066211570,HELICOPTER,PKAR04,2022-07-26T08:43:10+1000,2022-07-26T08:44:51+1000,-38.0921666666667,146.975,32,280,32,EVT_STANDARD,TRACPLUS,,UNKNOWN,2906
300434066214570,https://arena.nafc.org.au/tracking/api/ext/tracks/300434066214570,FIXED_WING,B435 VH-FZV CHAS,2022-07-26T08:43:27+1000,2022-07-26T08:44:51+1000,-38.092,146.974166666667,7,288,23,EVT_STANDARD,TRACPLUS,,UNKNOWN,1915
