imei,url,assetType,assetRegistration,transmitted,received,latitude,longitude,speed,track,altitude,events,productType
300434063865080,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063865080,HELICOPTER,PKAR03 (RockAIR),2021-04-26T16:23:46+1000,2021-04-26T16:23:49+1000,-36.34942,148.59606,0,0,991,EVT_SHUTDOWN,UNKNOWN
300434063390380,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063390380,FIXED_WING,FB508 VH-HQO,2020-05-05T12:37:49+1000,2020-05-05T12:38:04+1000,-27.39945,141.81352,0,0,108,EVT_SHUTDOWN,UNKNOWN
300125060031790,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300125060031790,HELICOPTER,HT275 C-FWTY United Aero,2020-03-28T10:07:28+1100,2020-03-28T10:08:30+1100,-34.0400958038372,150.687118436896,0,356,91,EVT_SHUTDOWN,
G16000003,https://arena.nafc.org.au/tracking/api/ext/currentLocations/G16000003,HELICOPTER,HT-777 VH-NVN Helicopter Resources,2022-07-20T14:58:50+1000,2022-07-20T14:58:58+1000,-42.8279725559942,147.474926821514,0,0,25,EVT_TAKEOFF,UNKNOWN
300434066711740,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066711740,FIXED_WING,B596 VH-ODZ Aerotech,2022-07-15T09:56:00+1000,2022-07-15T09:56:13+1000,-34.02547,138.5244,0,0,172,EVT_SHUTDOWN,WATER
300434063643870,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063643870,HEARTBEAT,TP1714783,2022-06-29T10:56:15+1000,2022-06-29T10:56:23+1000,-45.8791,170.50126,0,0,21,EVT_STANDARD,UNKNOWN
300534060386040,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300534060386040,HELICOPTER,HYM,2021-04-18T10:40:43+1000,2021-04-18T10:42:08+1000,-44.6733713150024,167.924866676331,0,15,2,EVT_STANDARD,UNKNOWN
300434062097320,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062097320,HELICOPTER,ZK-HDL,2022-07-21T11:42:00+1000,2022-07-21T11:42:12+1000,-44.01299,170.40679,0,0,799,EVT_STANDARD,UNKNOWN
300434066219540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066219540,FIXED_WING,B858 VH-FZO CHAS,2022-07-19T17:17:45+1000,2022-07-19T17:17:55+1000,-23.49332,148.17943,0,0,178,EVT_STANDARD,UNKNOWN
K17000289,https://arena.nafc.org.au/tracking/api/ext/currentLocations/K17000289,HELICOPTER,HT739 N247AC,2021-11-19T19:33:37+1100,2021-11-19T19:33:41+1100,38.1075134790008,23.7802133036168,0,0,245,EVT_SCHEDULED,UNKNOWN
300534060389790,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300534060389790,HELICOPTER,ZK-HIB,2021-08-15T12:28:52+1000,2021-08-15T12:29:22+1000,-41.118403673172,172.992825508118,0,160,16,EVT_STANDARD,UNKNOWN
300234063236440,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063236440,FIXED_WING,B361 VH-FFB Field Air (AT-802F),2022-04-14T16:10:06+1000,2022-04-14T16:10:15+1000,-37.51265,143.78773,0,0,333,EVT_STANDARD,WATER
300434064433200,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434064433200,HELICOPTER,FB237 VH-SKU Orange Helicopters,2022-07-03T08:55:38+1000,2022-07-03T08:55:46+1000,-33.38117,149.1204,0,0,902,EVT_SHUTDOWN,UNKNOWN
300434066004670,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066004670,FIXED_WING,LPX,2022-07-13T15:28:00+1000,2022-07-13T15:39:22+1000,-34.94589,150.52603,0,0,122,EVT_STANDARD,UNKNOWN
300434063938680,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063938680,HELICOPTER,SWR1,2021-09-16T15:45:15+1000,2021-09-16T15:45:18+1000,-27.51789,151.84855,12,0,560,EVT_STANDARD,UNKNOWN
300434069507270,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434069507270,FIXED_WING,VH-CKS,2022-07-21T00:24:15+1000,2022-07-21T00:24:22+1000,36.9906,35.28949,0,0,19,EVT_STANDARD,UNKNOWN
300434062792150,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062792150,HELICOPTER,FB235 VH-FIP Commercial,2022-06-27T16:48:30+1000,2022-06-27T16:48:38+1000,-30.52951,151.61844,0,0,1090,EVT_STANDARD,UNKNOWN
300434063868760,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063868760,FIXED_WING,VH-MGI,2020-02-23T08:44:00+1100,2020-02-23T08:44:14+1100,-29.39765,149.87625,0,0,207,EVT_STANDARD,
300234063185190,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063185190,HEARTBEAT,TC009,2022-07-14T03:26:32+1000,2022-07-14T03:26:44+1000,32.78487,-97.28214,0,0,236,EVT_STANDARD,WATER
300434066719720,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066719720,VEHICLE,x CAB 1 Fuel Truck 3	000 ISUZU,2022-07-21T17:22:59+1000,2022-07-21T17:23:06+1000,-34.3026,137.78185,0,0,167,EVT_SHUTDOWN,UNKNOWN
300234060466540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234060466540,HELICOPTER,VH-SKU,2019-05-09T17:03:54+1000,2019-05-09T17:04:05+1000,-33.0663166666667,151.65003,0,278,4,EVT_STANDARD,
300234065303220,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065303220,HELICOPTER,Magnum,2017-06-21T08:14:00+1000,2017-06-21T08:14:15+1000,-45.87831,170.500535,0,313,23,EVT_STANDARD,
300234068684020,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068684020,HEARTBEAT,TP1811696,2021-03-27T21:45:59+1100,2021-03-27T21:46:18+1100,-35.32151,148.99733,0,0,672,EVT_SHUTDOWN,UNKNOWN
300434066916280,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066916280,HELICOPTER,ZK-HHX,2022-03-12T11:00:15+1100,2022-03-12T11:00:19+1100,-38.4883,176.71406,0,0,212,EVT_STANDARD,UNKNOWN
300034013004900,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034013004900,HELICOPTER,ILM,2021-11-02T15:03:50+1100,2021-11-02T15:04:58+1100,-35.2827766666667,174.04656,0,44,55,EVT_STANDARD,UNKNOWN
300434064010660,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434064010660,HELICOPTER,ZK-HGO,2022-07-22T13:42:50+1000,2022-07-22T13:43:00+1000,-42.47027,171.65724,0,0,281,EVT_SHUTDOWN,UNKNOWN
300234062907400,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234062907400,HELICOPTER,VH-JGO - Rotorwing Helicopters,2016-12-22T08:18:30+1100,2016-12-22T08:19:16+1100,-28.82499,153.25799,0,0,10,EVT_STANDARD,
300434063356780,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063356780,HELICOPTER,VH-BHO Pays Air Charter,2021-05-14T14:34:04+1000,2021-05-14T14:34:10+1000,-36.07242,146.95313,0,0,166,EVT_SHUTDOWN,UNKNOWN
5X200225001042,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225001042,VEHICLE,AS300 Airspace Fuel,2021-12-29T17:21:36+1100,2021-12-29T17:21:58+1100,-26.56796,148.8953,0,0,329,EVT_STANDARD,UNKNOWN
5E150708000350,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5E150708000350,HELICOPTER,ZK-IVA,2022-07-22T10:45:24+1000,2022-07-22T10:45:33+1000,-38.11216,176.3167,0,0,293,EVT_STANDARD,UNKNOWN
300434062791380,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062791380,HELICOPTER,VH-SSD - B206L,2020-12-07T15:40:39+1100,2020-12-07T15:40:43+1100,-26.60347,153.08691,0,0,30,EVT_STARTUP,UNKNOWN
300434063862080,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063862080,HELICOPTER,ZK-HDW,2022-07-18T12:01:35+1000,2022-07-18T12:01:47+1000,-45.21939,170.78309,0,0,97,EVT_SHUTDOWN,UNKNOWN
300234060541800,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234060541800,HELICOPTER,VH-EPX,2019-02-21T09:36:30+1100,2019-02-21T09:36:58+1100,-26.983485,152.712475,0,0,139,EVT_STANDARD,
300434063325270,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063325270,HELICOPTER,HQO RA old,2022-05-26T14:44:30+1000,2022-05-26T14:53:13+1000,-45.87914,170.5014,0,0,37,EVT_STANDARD,UNKNOWN
300234066437430,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234066437430,HELICOPTER,HT251 C-GIUP Valhalla Helicopters,2020-02-29T14:21:01+1100,2020-02-29T14:21:18+1100,-34.5618066666667,150.794638333333,0,0,-5,EVT_STANDARD,
300234064220100,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234064220100,FIXED_WING,B220 VH-LIH Pays Air Service Holdings,2022-07-21T23:43:10+1000,2022-07-21T23:43:23+1000,38.11686,23.78488,0,129,269,EVT_ENGINEOFF,UNKNOWN
300434063019510,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063019510,FIXED_WING,Kennedy Air Spare DV,2020-03-11T12:26:30+1100,2020-03-11T12:26:35+1100,-45.87798,170.50304,0,0,17,EVT_STANDARD,
300034012038230,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012038230,HELICOPTER,ZK-HZD,2021-05-27T05:28:20+1000,2021-05-27T05:29:32+1000,-38.7388266666667,176.083101666667,0,86,410,EVT_STANDARD,UNKNOWN
300434062787130,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062787130,FIXED_WING,B228 VH-LII Pays Air Service Holdings,2020-02-28T21:12:27+1100,2020-02-28T21:44:33+1100,-29.74334,147.85695,0,0,135,EVT_STANDARD,
5X200225000959,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225000959,VEHICLE,D2875 - 14kL,2022-07-15T15:52:01+1000,2022-07-15T15:52:16+1000,-37.5132,143.7867,0,0,444,EVT_STANDARD,UNKNOWN
300434063355210,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063355210,VEHICLE,AO Stirling Nth,2022-07-01T11:40:48+1000,2022-07-01T11:40:57+1000,-32.51818,137.83769,0,0,40,EVT_SHUTDOWN,UNKNOWN
5X200225000999,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225000999,HELICOPTER,Helicopter Services BOP ZK-HKC-AFF,2022-07-20T13:58:31+1000,2022-07-20T13:58:42+1000,-38.7387,176.0822,0,0,412,EVT_STANDARD,UNKNOWN
300234063038890,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063038890,FIXED_WING,VH-DUA-OIL2,2021-04-20T08:54:44+1000,2021-04-20T08:55:00+1000,-30.04077,145.951196666667,0,335,110,EVT_STANDARD,UNKNOWN
300434063409350,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063409350,VEHICLE,Testing Internal (Vaughan),2020-02-06T06:27:06+1100,2020-02-06T06:27:15+1100,-45.86645,170.50421,3,0,65,EVT_SHUTDOWN,
300434063322440,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063322440,HELICOPTER,ZK-HZP,2021-04-24T13:35:31+1000,2021-04-24T13:35:36+1000,-46.19096,169.88839,0,0,88,EVT_STARTUP,UNKNOWN
300434063328310,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063328310,FIXED_WING,VH-ODQ (Rockair),2022-07-21T18:11:08+1000,2022-07-21T18:11:15+1000,-13.0556,131.03438,0,0,121,EVT_SHUTDOWN,UNKNOWN
300434063014550,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063014550,VEHICLE,Fuel Truck 3 Isuzu Forest Air,2020-07-01T17:32:15+1000,2020-07-01T17:32:18+1000,-36.74847,146.04226,0,0,243,EVT_STANDARD,UNKNOWN
300434063284250,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063284250,HELICOPTER,LS31 (VH-XXR),2022-07-22T13:43:15+1000,2022-07-22T13:43:31+1000,-37.89769,144.97882,225,172,379,EVT_STANDARD,UNKNOWN
300234065133190,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065133190,HELICOPTER,FB459 VH-VSB,2020-02-13T09:56:06+1100,2020-02-13T09:56:38+1100,-9.41103458404541,142.536535263062,0,41,15,EVT_STANDARD,
300234065412160,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065412160,HELICOPTER,FB323 VH-PHU PHS,2022-05-04T15:30:43+1000,2022-05-04T15:31:04+1000,-25.2934670448303,130.721833705902,0,0,604,EVT_STANDARD,UNKNOWN
300434063214790,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063214790,FIXED_WING,B414,2020-10-02T12:23:23+1000,2020-10-02T12:23:26+1000,-27.16421,151.26641,0,0,348,EVT_SHUTDOWN,UNKNOWN
300234066337800,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234066337800,HELICOPTER,N950CH - Data,2019-08-08T01:22:04+1000,2019-08-08T01:22:10+1000,38.67469,-121.39404,0,0,42,EVT_STANDARD,
300434063383540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063383540,VEHICLE,HINO Fuel Tanker 1 Forest Air,2022-04-14T13:26:54+1000,2022-04-14T13:26:58+1000,-35.97368,146.901,0,0,254,EVT_SHUTDOWN,UNKNOWN
300434063869990,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063869990,HELICOPTER,HT271 VH-HUE Heli-Central,2022-01-02T05:03:41+1100,2022-01-02T05:03:59+1100,-23.56797,148.1752,3,0,206,EVT_STARTUP,UNKNOWN
300434063047400,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063047400,HELICOPTER,ZK-GCH Commercial,2022-06-16T10:42:43+1000,2022-06-16T10:42:51+1000,-43.49985,172.52694,0,0,35,EVT_SHUTDOWN,UNKNOWN
70001404,https://arena.nafc.org.au/tracking/api/ext/currentLocations/70001404,HELICOPTER,HT238 C-GEZO Jayrow,2017-03-14T12:27:45+1100,2017-03-14T12:28:12+1100,-37.978588,145.09444,0,73,30,EVT_STANDARD,
300434063323300,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063323300,HELICOPTER,ZK-IYY,2021-05-23T07:31:15+1000,2021-05-23T07:31:18+1000,-45.41822,167.73371,0,0,245,EVT_STANDARD,UNKNOWN
300434063019170,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063019170,HELICOPTER,ZK-IFR,2022-06-08T08:36:15+1000,2022-06-08T08:36:26+1000,-41.11858,172.99279,0,0,18,EVT_STANDARD,UNKNOWN
300234061470800,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234061470800,FIXED_WING,VH-PMD CHAS,2018-06-18T16:13:07+1000,2018-06-18T16:13:18+1000,-23.4927333333333,148.179916666667,2,67,165,EVT_STANDARD,
300234067403620,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234067403620,HELICOPTER,HT676 N216PJ McDermott DV,2022-07-12T08:26:40+1000,2022-07-12T08:26:49+1000,-26.39847,152.91148,0,0,0,EVT_STARTUP,WATER
300234068588170,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068588170,HEARTBEAT,TP1811676,2020-10-15T11:57:20+1100,2020-10-15T11:57:33+1100,-35.37747,149.1705,0,0,579,EVT_STANDARD,UNKNOWN
300234064226410,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234064226410,FIXED_WING,B580 VH-ODW Aerotech,2017-01-10T18:20:51+1100,2017-01-10T18:21:13+1100,-34.60175,135.87464,0,200,10,EVT_ENGINEOFF,
300434063142260,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063142260,HELICOPTER,HT271 VH-HUE heli-central,2022-06-25T15:41:51+1000,2022-06-25T15:42:01+1000,-23.56803,148.17494,0,0,194,EVT_SHUTDOWN,UNKNOWN
300434062799830,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062799830,HELICOPTER,MHT AS350B3,2022-07-22T12:33:05+1000,2022-07-22T12:33:11+1000,-41.7961,172.35113,0,0,189,EVT_SHUTDOWN,UNKNOWN
300434063354870,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063354870,HELICOPTER,Helitak 233 - Touchdown,2022-01-15T14:46:30+1100,2022-01-15T14:46:34+1100,-33.91884,150.99672,0,0,22,EVT_STANDARD,UNKNOWN
300434063823810,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063823810,FIXED_WING,ZK-JCW,2022-07-22T09:55:29+1000,2022-07-22T09:55:36+1000,-44.30466,171.22738,0,0,31,EVT_SHUTDOWN,UNKNOWN
300434066100530,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066100530,HELICOPTER,VH-ZHW,2022-02-12T16:38:12+1100,2022-02-12T16:38:33+1100,-37.98091,145.09432,0,0,55,EVT_SHUTDOWN,UNKNOWN
300434063596600,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063596600,HELICOPTER,FB286/328 (VH-YJB),2021-08-10T09:51:22+1000,2021-08-10T09:51:26+1000,-37.97235,145.09275,0,0,25,EVT_SHUTDOWN,UNKNOWN
300434066005200,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066005200,FIXED_WING,B581 VH-OUF Aerotech,2022-07-04T11:38:57+1000,2022-07-04T11:39:05+1000,-34.78656,138.63527,0,0,16,EVT_SHUTDOWN,UNKNOWN
5X200225001028,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225001028,HELICOPTER,HGQ,2022-07-22T13:29:13+1000,2022-07-22T13:29:32+1000,-45.01698,168.7459,0,0,369,EVT_STANDARD,UNKNOWN
5E120619000215,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5E120619000215,FIXED_WING,VH-NDC,2020-02-12T16:22:30+1100,2020-02-12T16:23:09+1100,-16.88351,145.7488,0,0,17,EVT_STANDARD,
300234060704450,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234060704450,FIXED_WING,Mobile Handheld Unit 2,2019-02-18T17:10:20+1100,2019-02-18T17:10:39+1100,-34.9447583333333,138.531656666667,1,0,18,EVT_STANDARD,
300234068585300,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068585300,HEARTBEAT,TP1811681,2021-06-06T18:34:00+1000,2021-06-06T18:41:42+1000,-35.25819,149.10474,5,68,621,EVT_STANDARD,UNKNOWN
300234065265980,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065265980,FIXED_WING,45DD24QM2U,2020-03-04T01:50:40+1100,2020-03-04T01:51:19+1100,24.7301483333333,-81.0401616666667,0,0,-2,EVT_ENGINEOFF,
300434062581340,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062581340,FIXED_WING,VH-MGJ,2020-09-30T08:30:30+1000,2020-09-30T08:30:33+1000,-36.97088,147.70123,0,0,710,EVT_STANDARD,UNKNOWN
300434066915510,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066915510,VEHICLE,AO R2 Air Spt - Car 2,2022-07-09T21:35:37+1000,2022-07-09T21:35:44+1000,-34.60298,138.8772,1,0,214,EVT_SHUTDOWN,UNKNOWN
300234067396660,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234067396660,HELICOPTER,HT421 VH-ZVP Nautilus Aviation,2021-08-30T10:25:14+1000,2021-08-30T10:26:52+1000,-16.8716740608215,145.737504959106,0,0,15,EVT_STANDARD,UNKNOWN
300434063865640,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063865640,VEHICLE,Volvo Tanker,2020-09-22T14:23:32+1000,2020-09-22T14:25:17+1000,-31.97406,150.89921,0,0,359,EVT_SHUTDOWN,UNKNOWN
300234063117860,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063117860,HELICOPTER,ZK-IDV,2022-03-31T10:10:45+1100,2022-03-31T10:11:31+1100,-39.647125,176.768276666667,0,0,27,EVT_STANDARD,UNKNOWN
300534061775540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300534061775540,HELICOPTER,ZK-IOX,2022-07-01T10:23:53+1000,2022-07-01T10:25:44+1000,-39.6470296382904,176.76778793335,0,298,21,EVT_STANDARD,UNKNOWN
5P130311000161,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5P130311000161,HELICOPTER,FB437 VH-JMM Stirling Helicopters,2020-03-17T08:02:23+1100,2020-03-17T08:02:34+1100,-23.9421,150.6389,137,115,649,EVT_STANDARD,
300234065847070,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065847070,HELICOPTER,HNE,2021-03-02T14:31:46+1100,2021-03-02T14:32:45+1100,-45.5341351032257,167.641904354095,0,20,213,EVT_STANDARD,UNKNOWN
300234065305640,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065305640,HELICOPTER,ZK-IMJ,2022-07-22T09:52:39+1000,2022-07-22T10:13:34+1000,-39.799325466156,174.816019535065,0,186,203,EVT_STANDARD,UNKNOWN
5X180701000653,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X180701000653,HELICOPTER,FB423 VH-IBF Stirling Helicopters,2021-11-11T12:55:09+1100,2021-11-11T12:55:14+1100,-15.35176,130.2782,54,35,117,EVT_STANDARD,UNKNOWN
300434062792400,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062792400,FIXED_WING,VH-WTW AGAIR,2021-12-01T11:27:09+1100,2021-12-01T11:27:11+1100,-32.21679,148.56826,0,0,282,EVT_SHUTDOWN,UNKNOWN
300434063495900,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063495900,HELICOPTER,VH-UHS HT513,2022-07-19T11:20:15+1000,2022-07-19T11:20:43+1000,-34.78655,138.6348,0,0,11,EVT_STANDARD,UNKNOWN
300434063458030,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063458030,HELICOPTER,FB329 - VH-NYX - Osborne Aviation,2022-07-09T13:07:15+1000,2022-07-09T13:07:26+1000,-38.3197,146.58682,0,0,272,EVT_SHUTDOWN,UNKNOWN
5X200225001035,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225001035,VEHICLE,T4062 - 51kL,2021-10-21T07:01:07+1100,2021-10-21T07:02:05+1100,-30.77966,151.342,0,0,1027,EVT_STANDARD,UNKNOWN
0817IG3009E,https://arena.nafc.org.au/tracking/api/ext/currentLocations/0817IG3009E,HELICOPTER,N274TH,2020-03-18T06:51:36+1100,2020-03-18T06:52:12+1100,-35.4875177726171,-72.2329058924801,0,306,238,EVT_STANDARD,
300034012060090,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012060090,HELICOPTER,FB453 VH-HHF Nautilus Aviation,2017-02-22T17:52:30+1100,2017-02-22T17:52:46+1100,-10.58879,142.29394,0,80,29,EVT_STANDARD,
300434066004720,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066004720,FIXED_WING,B589 VH-OUC Aerotech,2022-07-15T17:36:42+1000,2022-07-15T17:36:50+1000,-34.0251,138.52465,0,0,175,EVT_SHUTDOWN,FOAM
300434063860640,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063860640,HELICOPTER,FB297 VH-ANC Precision,2022-06-15T17:18:27+1000,2022-06-15T17:18:37+1000,-31.94992,151.93797,0,0,194,EVT_SHUTDOWN,UNKNOWN
300234063234440,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063234440,FIXED_WING,B354 VH-VBV AGAIR,2022-03-21T18:41:00+1100,2022-03-21T18:41:04+1100,-37.06871,142.74224,0,274,233,EVT_ENGINEOFF,RETARDANT
300234068319510,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068319510,HEARTBEAT,TP1811026,2021-03-16T21:29:26+1100,2021-03-16T21:31:07+1100,-35.32213,148.9997,0,0,693,EVT_SHUTDOWN,UNKNOWN
G14000005,https://arena.nafc.org.au/tracking/api/ext/currentLocations/G14000005,HELICOPTER,HT224 VH-TKD Helitreck,2017-11-22T08:43:16+1100,2017-11-22T08:43:18+1100,-33.9176005924228,150.994627712876,0,0,20,EVT_SCHEDULED,
300234065269980,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065269980,HELICOPTER,ZK-HOM,2021-09-20T06:35:54+1000,2021-09-20T06:37:35+1000,-44.7234535217285,169.244749546051,0,250,360,EVT_STANDARD,UNKNOWN
300234064323380,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234064323380,HELICOPTER,FB303 (VH-ZHS) Microflite,2020-05-20T09:38:10+1000,2020-05-20T09:38:52+1000,-37.9718916666667,145.093223333333,0,0,35,EVT_STANDARD,UNKNOWN
D19000210,https://arena.nafc.org.au/tracking/api/ext/currentLocations/D19000210,HELICOPTER,ZK-HGU,2020-07-30T20:09:36+1000,2020-07-30T20:09:39+1000,-41.2957391529006,173.229187030035,0,0,5,EVT_LANDING,UNKNOWN
300234010821350,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234010821350,VEHICLE,786-SYA Kestrel Aviation ,2017-02-28T08:39:00+1100,2017-02-28T08:40:02+1100,-36.89905,145.18085,0,334,144,EVT_STANDARD,
