type,type,type,.features[].geometry.coordinates[],imei,url,assetType,assetRegistration,transmitted,received,speed,track,events
,Feature,Point,145.0926;-37.9723;21,300434063597600,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063597600?geojson=true,HELICOPTER,LS30 (VH-VJB),2022-07-25T13:26:28+1000,2022-07-25T13:26:36+1000,0,0,EVT_SHUTDOWN
,Feature,Point,171.1912;-42.4628;10,E21000057,https://arena.nafc.org.au/tracking/api/ext/currentLocations/E21000057?geojson=true,HELICOPTER,ZK-IHL,2022-07-25T11:55:18+1000,2022-07-25T11:55:25+1000,0,0,EVT_SCHEDULED
,Feature,Point,23.7802;38.1075;245,K17000289,https://arena.nafc.org.au/tracking/api/ext/currentLocations/K17000289?geojson=true,HELICOPTER,HT739 N247AC,2021-11-19T19:33:37+1100,2021-11-19T19:33:41+1100,0,0,EVT_SCHEDULED
,Feature,Point,172.9928;-41.1184;16,300534060389790,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300534060389790?geojson=true,HELICOPTER,ZK-HIB,2021-08-15T12:28:52+1000,2021-08-15T12:29:22+1000,0,160,EVT_STANDARD
,Feature,Point,143.7877;-37.5127;333,300234063236440,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063236440?geojson=true,FIXED_WING,B361 VH-FFB Field Air (AT-802F),2022-04-14T16:10:06+1000,2022-04-14T16:10:15+1000,0,0,EVT_STANDARD
,Feature,Point,149.1204;-33.3812;902,300434064433200,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434064433200?geojson=true,HELICOPTER,FB237 VH-SKU Orange Helicopters,2022-07-03T08:55:38+1000,2022-07-03T08:55:46+1000,0,0,EVT_SHUTDOWN
,Feature,Point,150.526;-34.9459;122,300434066004670,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066004670?geojson=true,FIXED_WING,LPX,2022-07-13T15:28:00+1000,2022-07-13T15:39:22+1000,0,0,EVT_STANDARD
,Feature,Point,151.8486;-27.5179;560,300434063938680,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063938680?geojson=true,HELICOPTER,SWR1,2021-09-16T15:45:15+1000,2021-09-16T15:45:18+1000,12,0,EVT_STANDARD
,Feature,Point,151.6184;-30.5295;1090,300434062792150,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062792150?geojson=true,HELICOPTER,FB235 VH-FIP Commercial,2022-06-27T16:48:30+1000,2022-06-27T16:48:38+1000,0,0,EVT_STANDARD
,Feature,Point,149.8763;-29.3977;207,300434063868760,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063868760?geojson=true,FIXED_WING,VH-MGI,2020-02-23T08:44:00+1100,2020-02-23T08:44:14+1100,0,0,EVT_STANDARD
,Feature,Point,-97.2821;32.7849;236,300234063185190,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063185190?geojson=true,HEARTBEAT,TC009,2022-07-14T03:26:32+1000,2022-07-14T03:26:44+1000,0,0,EVT_STANDARD
,Feature,Point,137.7819;-34.3026;167,300434066719720,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066719720?geojson=true,VEHICLE,x CAB 1 Fuel Truck 3	000 ISUZU,2022-07-21T17:22:59+1000,2022-07-21T17:23:06+1000,0,0,EVT_SHUTDOWN
,Feature,Point,151.65;-33.0663;4,300234060466540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234060466540?geojson=true,HELICOPTER,VH-SKU,2019-05-09T17:03:54+1000,2019-05-09T17:04:05+1000,0,278,EVT_STANDARD
,Feature,Point,170.5005;-45.8783;23,300234065303220,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065303220?geojson=true,HELICOPTER,Magnum,2017-06-21T08:14:00+1000,2017-06-21T08:14:15+1000,0,313,EVT_STANDARD
,Feature,Point,148.9973;-35.3215;672,300234068684020,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068684020?geojson=true,HEARTBEAT,TP1811696,2021-03-27T21:45:59+1100,2021-03-27T21:46:18+1100,0,0,EVT_SHUTDOWN
,Feature,Point,176.7141;-38.4883;212,300434066916280,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066916280?geojson=true,HELICOPTER,ZK-HHX,2022-03-12T11:00:15+1100,2022-03-12T11:00:19+1100,0,0,EVT_STANDARD
,Feature,Point,174.0466;-35.2828;55,300034013004900,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034013004900?geojson=true,HELICOPTER,ILM,2021-11-02T15:03:50+1100,2021-11-02T15:04:58+1100,0,44,EVT_STANDARD
,Feature,Point,151.6184;-30.5295;1083,300434062148240,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062148240?geojson=true,HELICOPTER,FB230 VH-CHO Fleet/Commercial,2022-07-23T12:39:24+1000,2022-07-23T12:39:31+1000,0,0,EVT_SHUTDOWN
,Feature,Point,153.258;-28.825;10,300234062907400,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234062907400?geojson=true,HELICOPTER,VH-JGO - Rotorwing Helicopters,2016-12-22T08:18:30+1100,2016-12-22T08:19:16+1100,0,0,EVT_STANDARD
,Feature,Point,146.9531;-36.0724;166,300434063356780,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063356780?geojson=true,HELICOPTER,VH-BHO Pays Air Charter,2021-05-14T14:34:04+1000,2021-05-14T14:34:10+1000,0,0,EVT_SHUTDOWN
,Feature,Point,148.8953;-26.568;329,5X200225001042,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225001042?geojson=true,VEHICLE,AS300 Airspace Fuel,2021-12-29T17:21:36+1100,2021-12-29T17:21:58+1100,0,0,EVT_STANDARD
,Feature,Point,153.0869;-26.6035;30,300434062791380,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062791380?geojson=true,HELICOPTER,VH-SSD - B206L,2020-12-07T15:40:39+1100,2020-12-07T15:40:43+1100,0,0,EVT_STARTUP
,Feature,Point,172.7778;-42.5297;335,C19000036,https://arena.nafc.org.au/tracking/api/ext/currentLocations/C19000036?geojson=true,HELICOPTER,ZK-HIB,2022-07-24T06:33:46+1000,2022-07-24T06:33:54+1000,0,0,EVT_SCHEDULED
,Feature,Point,152.7125;-26.9835;139,300234060541800,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234060541800?geojson=true,HELICOPTER,VH-EPX,2019-02-21T09:36:30+1100,2019-02-21T09:36:58+1100,0,0,EVT_STANDARD
,Feature,Point,170.5014;-45.8791;37,300434063325270,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063325270?geojson=true,HELICOPTER,HQO RA old,2022-05-26T14:44:30+1000,2022-05-26T14:53:13+1000,0,0,EVT_STANDARD
,Feature,Point,150.7946;-34.5618;-5,300234066437430,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234066437430?geojson=true,HELICOPTER,HT251 C-GIUP Valhalla Helicopters,2020-02-29T14:21:01+1100,2020-02-29T14:21:18+1100,0,0,EVT_STANDARD
,Feature,Point,153.0871;-26.6035;9,300434062798100,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062798100?geojson=true,HELICOPTER,FB474 VH-HRU McDermott,2022-07-26T10:46:02+1000,2022-07-26T10:46:37+1000,0,0,EVT_SHUTDOWN
,Feature,Point,170.503;-45.878;17,300434063019510,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063019510?geojson=true,FIXED_WING,Kennedy Air Spare DV,2020-03-11T12:26:30+1100,2020-03-11T12:26:35+1100,0,0,EVT_STANDARD
,Feature,Point,176.0831;-38.7388;410,300034012038230,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012038230?geojson=true,HELICOPTER,ZK-HZD,2021-05-27T05:28:20+1000,2021-05-27T05:29:32+1000,0,86,EVT_STANDARD
,Feature,Point,147.857;-29.7433;135,300434062787130,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062787130?geojson=true,FIXED_WING,B228 VH-LII Pays Air Service Holdings,2020-02-28T21:12:27+1100,2020-02-28T21:44:33+1100,0,0,EVT_STANDARD
,Feature,Point,143.7867;-37.5132;444,5X200225000959,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225000959?geojson=true,VEHICLE,D2875 - 14kL,2022-07-15T15:52:01+1000,2022-07-15T15:52:16+1000,0,0,EVT_STANDARD
,Feature,Point,170.1419;-43.3838;124,300434062093430,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062093430?geojson=true,HELICOPTER,ZK-HSN,2022-07-26T10:47:54+1000,2022-07-26T10:48:14+1000,0,0,EVT_SHUTDOWN
,Feature,Point,145.9512;-30.0408;110,300234063038890,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063038890?geojson=true,FIXED_WING,VH-DUA-OIL2,2021-04-20T08:54:44+1000,2021-04-20T08:55:00+1000,0,335,EVT_STANDARD
,Feature,Point,170.5042;-45.8665;65,300434063409350,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063409350?geojson=true,VEHICLE,Testing Internal (Vaughan),2020-02-06T06:27:06+1100,2020-02-06T06:27:15+1100,3,0,EVT_SHUTDOWN
,Feature,Point,169.8884;-46.191;88,300434063322440,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063322440?geojson=true,HELICOPTER,ZK-HZP,2021-04-24T13:35:31+1000,2021-04-24T13:35:36+1000,0,0,EVT_STARTUP
,Feature,Point,131.0344;-13.0556;121,300434063328310,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063328310?geojson=true,FIXED_WING,VH-ODQ (Rockair),2022-07-21T18:11:08+1000,2022-07-21T18:11:15+1000,0,0,EVT_SHUTDOWN
,Feature,Point,146.0423;-36.7485;243,300434063014550,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063014550?geojson=true,VEHICLE,Fuel Truck 3 Isuzu Forest Air,2020-07-01T17:32:15+1000,2020-07-01T17:32:18+1000,0,0,EVT_STANDARD
,Feature,Point,142.5365;-9.411;15,300234065133190,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065133190?geojson=true,HELICOPTER,FB459 VH-VSB,2020-02-13T09:56:06+1100,2020-02-13T09:56:38+1100,0,41,EVT_STANDARD
,Feature,Point,130.7218;-25.2935;604,300234065412160,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065412160?geojson=true,HELICOPTER,FB323 VH-PHU PHS,2022-05-04T15:30:43+1000,2022-05-04T15:31:04+1000,0,0,EVT_STANDARD
,Feature,Point,151.2664;-27.1642;348,300434063214790,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063214790?geojson=true,FIXED_WING,B414,2020-10-02T12:23:23+1000,2020-10-02T12:23:26+1000,0,0,EVT_SHUTDOWN
,Feature,Point,-121.394;38.6747;42,300234066337800,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234066337800?geojson=true,HELICOPTER,N950CH - Data,2019-08-08T01:22:04+1000,2019-08-08T01:22:10+1000,0,0,EVT_STANDARD
,Feature,Point,146.901;-35.9737;254,300434063383540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063383540?geojson=true,VEHICLE,HINO Fuel Tanker 1 Forest Air,2022-04-14T13:26:54+1000,2022-04-14T13:26:58+1000,0,0,EVT_SHUTDOWN
,Feature,Point,148.1752;-23.568;206,300434063869990,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063869990?geojson=true,HELICOPTER,HT271 VH-HUE Heli-Central,2022-01-02T05:03:41+1100,2022-01-02T05:03:59+1100,3,0,EVT_STARTUP
,Feature,Point,172.5269;-43.4999;35,300434063047400,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063047400?geojson=true,HELICOPTER,ZK-GCH Commercial,2022-06-16T10:42:43+1000,2022-06-16T10:42:51+1000,0,0,EVT_SHUTDOWN
,Feature,Point,145.0944;-37.9786;30,70001404,https://arena.nafc.org.au/tracking/api/ext/currentLocations/70001404?geojson=true,HELICOPTER,HT238 C-GEZO Jayrow,2017-03-14T12:27:45+1100,2017-03-14T12:28:12+1100,0,73,EVT_STANDARD
,Feature,Point,167.7337;-45.4182;245,300434063323300,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063323300?geojson=true,HELICOPTER,ZK-IYY,2021-05-23T07:31:15+1000,2021-05-23T07:31:18+1000,0,0,EVT_STANDARD
,Feature,Point,172.9928;-41.1186;18,300434063019170,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063019170?geojson=true,HELICOPTER,ZK-IFR,2022-06-08T08:36:15+1000,2022-06-08T08:36:26+1000,0,0,EVT_STANDARD
,Feature,Point,148.1799;-23.4927;165,300234061470800,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234061470800?geojson=true,FIXED_WING,VH-PMD CHAS,2018-06-18T16:13:07+1000,2018-06-18T16:13:18+1000,2,67,EVT_STANDARD
,Feature,Point,152.9115;-26.3985;0,300234067403620,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234067403620?geojson=true,HELICOPTER,HT676 N216PJ McDermott DV,2022-07-12T08:26:40+1000,2022-07-12T08:26:49+1000,0,0,EVT_STARTUP
,Feature,Point,149.1705;-35.3775;579,300234068588170,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068588170?geojson=true,HEARTBEAT,TP1811676,2020-10-15T11:57:20+1100,2020-10-15T11:57:33+1100,0,0,EVT_STANDARD
,Feature,Point,135.8746;-34.6018;10,300234064226410,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234064226410?geojson=true,FIXED_WING,B580 VH-ODW Aerotech,2017-01-10T18:20:51+1100,2017-01-10T18:21:13+1100,0,200,EVT_ENGINEOFF
,Feature,Point,148.1749;-23.568;194,300434063142260,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063142260?geojson=true,HELICOPTER,HT271 VH-HUE heli-central,2022-06-25T15:41:51+1000,2022-06-25T15:42:01+1000,0,0,EVT_SHUTDOWN
,Feature,Point,150.9967;-33.9188;22,300434063354870,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063354870?geojson=true,HELICOPTER,Helitak 233 - Touchdown,2022-01-15T14:46:30+1100,2022-01-15T14:46:34+1100,0,0,EVT_STANDARD
,Feature,Point,171.2274;-44.3047;31,300434063823810,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063823810?geojson=true,FIXED_WING,ZK-JCW,2022-07-22T09:55:29+1000,2022-07-22T09:55:36+1000,0,0,EVT_SHUTDOWN
,Feature,Point,145.0943;-37.9809;55,300434066100530,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066100530?geojson=true,HELICOPTER,VH-ZHW,2022-02-12T16:38:12+1100,2022-02-12T16:38:33+1100,0,0,EVT_SHUTDOWN
,Feature,Point,145.0928;-37.9724;25,300434063596600,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063596600?geojson=true,HELICOPTER,FB286/328 (VH-YJB),2021-08-10T09:51:22+1000,2021-08-10T09:51:26+1000,0,0,EVT_SHUTDOWN
,Feature,Point,138.6353;-34.7866;16,300434066005200,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066005200?geojson=true,FIXED_WING,B581 VH-OUF Aerotech,2022-07-04T11:38:57+1000,2022-07-04T11:39:05+1000,0,0,EVT_SHUTDOWN
,Feature,Point,145.7488;-16.8835;17,5E120619000215,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5E120619000215?geojson=true,FIXED_WING,VH-NDC,2020-02-12T16:22:30+1100,2020-02-12T16:23:09+1100,0,0,EVT_STANDARD
,Feature,Point,150.8321;-32.0359;233,300434063417080,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063417080?geojson=true,FIXED_WING,VH-MHV,2022-07-22T14:09:30+1000,2022-07-22T14:09:39+1000,0,0,EVT_STANDARD
,Feature,Point,138.5317;-34.9448;18,300234060704450,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234060704450?geojson=true,FIXED_WING,Mobile Handheld Unit 2,2019-02-18T17:10:20+1100,2019-02-18T17:10:39+1100,1,0,EVT_STANDARD
,Feature,Point,149.1047;-35.2582;621,300234068585300,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068585300?geojson=true,HEARTBEAT,TP1811681,2021-06-06T18:34:00+1000,2021-06-06T18:41:42+1000,5,68,EVT_STANDARD
,Feature,Point,-81.0402;24.7301;-2,300234065265980,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065265980?geojson=true,FIXED_WING,45DD24QM2U,2020-03-04T01:50:40+1100,2020-03-04T01:51:19+1100,0,0,EVT_ENGINEOFF
,Feature,Point,147.7012;-36.9709;710,300434062581340,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062581340?geojson=true,FIXED_WING,VH-MGJ,2020-09-30T08:30:30+1000,2020-09-30T08:30:33+1000,0,0,EVT_STANDARD
,Feature,Point,138.8772;-34.603;214,300434066915510,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434066915510?geojson=true,VEHICLE,AO R2 Air Spt - Car 2,2022-07-09T21:35:37+1000,2022-07-09T21:35:44+1000,1,0,EVT_SHUTDOWN
,Feature,Point,145.7375;-16.8717;15,300234067396660,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234067396660?geojson=true,HELICOPTER,HT421 VH-ZVP Nautilus Aviation,2021-08-30T10:25:14+1000,2021-08-30T10:26:52+1000,0,0,EVT_STANDARD
,Feature,Point,150.8992;-31.9741;359,300434063865640,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063865640?geojson=true,VEHICLE,Volvo Tanker,2020-09-22T14:23:32+1000,2020-09-22T14:25:17+1000,0,0,EVT_SHUTDOWN
,Feature,Point,176.7683;-39.6471;27,300234063117860,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063117860?geojson=true,HELICOPTER,ZK-IDV,2022-03-31T10:10:45+1100,2022-03-31T10:11:31+1100,0,0,EVT_STANDARD
,Feature,Point,176.7678;-39.647;21,300534061775540,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300534061775540?geojson=true,HELICOPTER,ZK-IOX,2022-07-01T10:23:53+1000,2022-07-01T10:25:44+1000,0,298,EVT_STANDARD
,Feature,Point,150.6389;-23.9421;649,5P130311000161,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5P130311000161?geojson=true,HELICOPTER,FB437 VH-JMM Stirling Helicopters,2020-03-17T08:02:23+1100,2020-03-17T08:02:34+1100,137,115,EVT_STANDARD
,Feature,Point,167.6419;-45.5341;213,300234065847070,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065847070?geojson=true,HELICOPTER,HNE,2021-03-02T14:31:46+1100,2021-03-02T14:32:45+1100,0,20,EVT_STANDARD
,Feature,Point,169.2449;-44.7233;356,300234066731250,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234066731250?geojson=true,HELICOPTER,ZK-HRM,2022-07-26T09:18:14+1000,2022-07-26T09:18:58+1000,0,228,EVT_STANDARD
,Feature,Point,130.2782;-15.3518;117,5X180701000653,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X180701000653?geojson=true,HELICOPTER,FB423 VH-IBF Stirling Helicopters,2021-11-11T12:55:09+1100,2021-11-11T12:55:14+1100,54,35,EVT_STANDARD
,Feature,Point,148.5683;-32.2168;282,300434062792400,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434062792400?geojson=true,FIXED_WING,VH-WTW AGAIR,2021-12-01T11:27:09+1100,2021-12-01T11:27:11+1100,0,0,EVT_SHUTDOWN
,Feature,Point,146.5868;-38.3197;272,300434063458030,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063458030?geojson=true,HELICOPTER,FB329 - VH-NYX - Osborne Aviation,2022-07-09T13:07:15+1000,2022-07-09T13:07:26+1000,0,0,EVT_SHUTDOWN
,Feature,Point,151.342;-30.7797;1027,5X200225001035,https://arena.nafc.org.au/tracking/api/ext/currentLocations/5X200225001035?geojson=true,VEHICLE,T4062 - 51kL,2021-10-21T07:01:07+1100,2021-10-21T07:02:05+1100,0,0,EVT_STANDARD
,Feature,Point,-72.2329;-35.4875;238,0817IG3009E,https://arena.nafc.org.au/tracking/api/ext/currentLocations/0817IG3009E?geojson=true,HELICOPTER,N274TH,2020-03-18T06:51:36+1100,2020-03-18T06:52:12+1100,0,306,EVT_STANDARD
,Feature,Point,142.2939;-10.5888;29,300034012060090,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300034012060090?geojson=true,HELICOPTER,FB453 VH-HHF Nautilus Aviation,2017-02-22T17:52:30+1100,2017-02-22T17:52:46+1100,0,80,EVT_STANDARD
,Feature,Point,35.2894;36.9906;24,300434069507270,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434069507270?geojson=true,FIXED_WING,VH-CKS,2022-07-26T01:14:26+1000,2022-07-26T01:14:53+1000,0,0,EVT_SHUTDOWN
,Feature,Point,170.7828;-45.2196;111,300434063643430,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434063643430?geojson=true,HELICOPTER,ZK-HDB,2022-07-26T10:00:15+1000,2022-07-26T10:00:46+1000,1,0,EVT_STANDARD
,Feature,Point,142.7422;-37.0687;233,300234063234440,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234063234440?geojson=true,FIXED_WING,B354 VH-VBV AGAIR,2022-03-21T18:41:00+1100,2022-03-21T18:41:04+1100,0,274,EVT_ENGINEOFF
,Feature,Point,148.9997;-35.3221;693,300234068319510,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234068319510?geojson=true,HEARTBEAT,TP1811026,2021-03-16T21:29:26+1100,2021-03-16T21:31:07+1100,0,0,EVT_SHUTDOWN
,Feature,Point,150.9946;-33.9176;20,G14000005,https://arena.nafc.org.au/tracking/api/ext/currentLocations/G14000005?geojson=true,HELICOPTER,HT224 VH-TKD Helitreck,2017-11-22T08:43:16+1100,2017-11-22T08:43:18+1100,0,0,EVT_SCHEDULED
,Feature,Point,35.2896;36.9907;24,300434064734300,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300434064734300?geojson=true,FIXED_WING,B436 VH-JQW CHAS,2022-07-25T02:21:45+1000,2022-07-25T02:21:52+1000,0,0,EVT_SHUTDOWN
,Feature,Point,169.2447;-44.7235;360,300234065269980,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234065269980?geojson=true,HELICOPTER,ZK-HOM,2021-09-20T06:35:54+1000,2021-09-20T06:37:35+1000,0,250,EVT_STANDARD
,Feature,Point,145.0932;-37.9719;35,300234064323380,https://arena.nafc.org.au/tracking/api/ext/currentLocations/300234064323380?geojson=true,HELICOPTER,FB303 (VH-ZHS) Microflite,2020-05-20T09:38:10+1000,2020-05-20T09:38:52+1000,0,0,EVT_STANDARD
